Shipment_ID,Order_ID,Shipment_Date,Delivery_Date,Delivery_Time
SHIP00101,ORD00101,2024-08-16,2024-08-24,192
SHIP00102,ORD00102,2026-07-08,2026-07-16,192
SHIP00103,ORD00103,2025-12-28,2026-01-02,120
SHIP00104,ORD00104,2026-01-24,2026-01-28,96
SHIP00105,ORD00105,2026-04-04,2026-04-11,168
SHIP00106,ORD00106,2026-05-21,2026-05-22,24
SHIP00107,ORD00107,2024-07-22,2024-08-03,288
SHIP00108,ORD00108,2025-02-18,2025-03-02,288
SHIP00109,ORD00109,2025-09-30,2025-10-09,216
SHIP00110,ORD00110,2026-06-05,2026-06-08,72
SHIP00111,ORD00111,2024-08-26,2024-08-29,72
SHIP00112,ORD00112,2026-05-20,2026-05-29,216
SHIP00113,ORD00113,2025-11-30,2025-12-02,48
SHIP00114,ORD00114,2025-10-22,2025-11-02,264
SHIP00115,ORD00115,2025-06-07,2025-06-19,288
SHIP00116,ORD00116,2025-03-02,2025-03-10,192
SHIP00117,ORD00117,2024-10-10,2024-10-18,192
SHIP00118,ORD00118,2026-04-23,2026-05-01,192
SHIP00119,ORD00119,2026-03-29,2026-04-05,168
SHIP00120,ORD00120,2024-12-04,2024-12-14,240
SHIP00121,ORD00121,2025-03-04,2025-03-15,264
SHIP00122,ORD00122,2026-01-16,2026-01-23,168
SHIP00123,ORD00123,2025-04-08,2025-04-20,288
SHIP00124,ORD00124,2024-07-22,2024-07-30,192
SHIP00125,ORD00125,2026-03-12,2026-03-15,72
SHIP00126,ORD00126,2025-07-28,2025-08-09,288
SHIP00127,ORD00127,2026-01-18,2026-01-22,96
SHIP00128,ORD00128,2026-04-13,2026-04-14,24
SHIP00129,ORD00129,2026-03-05,2026-03-11,144
SHIP00130,ORD00130,2026-06-24,2026-07-05,264
SHIP00131,ORD00131,2025-09-01,2025-09-13,288
SHIP00132,ORD00132,2026-07-08,2026-07-12,96
SHIP00133,ORD00133,2024-11-16,2024-11-26,240
SHIP00134,ORD00134,2026-02-08,2026-02-14,144
SHIP00135,ORD00135,2024-12-11,2024-12-23,288
SHIP00136,ORD00136,2025-04-05,2025-04-16,264
SHIP00137,ORD00137,2024-12-24,2024-12-25,24
SHIP00138,ORD00138,2025-07-07,2025-07-12,120
SHIP00139,ORD00139,2024-12-04,2024-12-10,144
SHIP00140,ORD00140,2025-10-21,2025-10-31,240
SHIP00141,ORD00141,2025-07-16,2025-07-28,288
SHIP00142,ORD00142,2024-08-06,2024-08-17,264
SHIP00143,ORD00143,2025-05-12,2025-05-16,96
SHIP00144,ORD00144,2025-08-28,2025-09-09,288
SHIP00145,ORD00145,2024-09-18,2024-09-28,240
SHIP00146,ORD00146,2024-09-20,2024-09-21,24
SHIP00147,ORD00147,2026-02-26,2026-02-27,24
SHIP00148,ORD00148,2024-11-27,2024-12-02,120
SHIP00149,ORD00149,2025-06-21,2025-06-28,168
SHIP00150,ORD00150,2025-06-27,2025-07-06,216
SHIP00151,ORD00151,2026-06-17,2026-06-24,168
SHIP00152,ORD00152,2025-08-02,2025-08-08,144
SHIP00153,ORD00153,2025-10-21,2025-10-22,24
SHIP00154,ORD00154,2025-09-03,2025-09-11,192
SHIP00155,ORD00155,2025-01-03,2025-01-09,144
SHIP00156,ORD00156,2026-01-04,2026-01-14,240
SHIP00157,ORD00157,2024-10-12,2024-10-16,96
SHIP00158,ORD00158,2025-01-12,2025-01-18,144
SHIP00159,ORD00159,2025-04-21,2025-04-28,168
SHIP00160,ORD00160,2025-07-02,2025-07-14,288
SHIP00161,ORD00161,2025-01-14,2025-01-20,144
SHIP00162,ORD00162,2025-09-30,2025-10-02,48
SHIP00163,ORD00163,2025-01-29,2025-02-06,192
SHIP00164,ORD00164,2024-09-06,2024-09-09,72
SHIP00165,ORD00165,2024-12-23,2024-12-24,24
SHIP00166,ORD00166,2025-02-21,2025-03-05,288
SHIP00167,ORD00167,2026-06-14,2026-06-19,120
SHIP00168,ORD00168,2025-07-17,2025-07-25,192
SHIP00169,ORD00169,2026-03-06,2026-03-10,96
SHIP00170,ORD00170,2026-03-30,2026-04-09,240
SHIP00171,ORD00171,2024-08-16,2024-08-24,192
SHIP00172,ORD00172,2025-11-04,2025-11-13,216
SHIP00173,ORD00173,2026-01-18,2026-01-19,24
SHIP00174,ORD00174,2026-03-01,2026-03-13,288
SHIP00175,ORD00175,2025-08-24,2025-08-31,168
SHIP00176,ORD00176,2024-11-06,2024-11-12,144
SHIP00177,ORD00177,2026-05-13,2026-05-17,96
SHIP00178,ORD00178,2024-10-05,2024-10-14,216
SHIP00179,ORD00179,2024-10-07,2024-10-09,48
SHIP00180,ORD00180,2024-11-04,2024-11-16,288
SHIP00181,ORD00181,2026-03-13,2026-03-18,120
SHIP00182,ORD00182,2024-08-11,2024-08-14,72
SHIP00183,ORD00183,2025-12-26,2025-12-30,96
SHIP00184,ORD00184,2025-09-10,2025-09-12,48
SHIP00185,ORD00185,2025-03-20,2025-03-23,72
SHIP00186,ORD00186,2025-01-16,2025-01-22,144
SHIP00187,ORD00187,2024-09-12,2024-09-15,72
SHIP00188,ORD00188,2024-07-15,2024-07-24,216
SHIP00189,ORD00189,2026-07-11,2026-07-15,96
SHIP00190,ORD00190,2025-09-06,2025-09-07,24
SHIP00191,ORD00191,2025-09-22,2025-10-04,288
SHIP00192,ORD00192,2026-02-05,2026-02-07,48
SHIP00193,ORD00193,2024-07-19,2024-07-31,288
SHIP00194,ORD00194,2025-04-05,2025-04-11,144
SHIP00195,ORD00195,2024-10-09,2024-10-15,144
SHIP00196,ORD00196,2025-03-07,2025-03-12,120
SHIP00197,ORD00197,2025-06-17,2025-06-22,120
SHIP00198,ORD00198,2025-12-23,2025-12-24,24
SHIP00199,ORD00199,2025-08-21,2025-09-02,288
SHIP00200,ORD00200,2024-11-29,2024-12-11,288
SHIP00201,ORD00201,2025-01-18,2025-01-23,120
SHIP00202,ORD00202,2024-07-26,2024-07-29,72
SHIP00203,ORD00203,2026-02-09,2026-02-19,240
SHIP00204,ORD00204,2025-08-30,2025-08-31,24
SHIP00205,ORD00205,2026-05-09,2026-05-11,48
SHIP00206,ORD00206,2025-04-05,2025-04-15,240
SHIP00207,ORD00207,2024-10-28,2024-10-31,72
SHIP00208,ORD00208,2026-05-28,2026-06-04,168
SHIP00209,ORD00209,2025-06-01,2025-06-12,264
SHIP00210,ORD00210,2025-06-09,2025-06-21,288
SHIP00211,ORD00211,2025-04-01,2025-04-07,144
SHIP00212,ORD00212,2024-11-03,2024-11-13,240
SHIP00213,ORD00213,2025-02-02,2025-02-11,216
SHIP00214,ORD00214,2026-03-14,2026-03-22,192
SHIP00215,ORD00215,2024-12-12,2024-12-15,72
SHIP00216,ORD00216,2024-12-13,2024-12-18,120
SHIP00217,ORD00217,2025-03-26,2025-03-28,48
SHIP00218,ORD00218,2025-04-09,2025-04-16,168
SHIP00219,ORD00219,2024-12-19,2024-12-27,192
SHIP00220,ORD00220,2024-08-08,2024-08-18,240
SHIP00221,ORD00221,2024-10-05,2024-10-06,24
SHIP00222,ORD00222,2025-06-09,2025-06-15,144
SHIP00223,ORD00223,2026-06-01,2026-06-05,96
SHIP00224,ORD00224,2025-01-19,2025-01-31,288
SHIP00225,ORD00225,2025-03-31,2025-04-07,168
SHIP00226,ORD00226,2026-07-03,2026-07-06,72
SHIP00227,ORD00227,2025-01-26,2025-02-06,264
SHIP00228,ORD00228,2025-06-06,2025-06-13,168
SHIP00229,ORD00229,2026-01-24,2026-02-03,240
SHIP00230,ORD00230,2026-05-07,2026-05-16,216
SHIP00231,ORD00231,2026-03-28,2026-04-07,240
SHIP00232,ORD00232,2024-11-15,2024-11-26,264
SHIP00233,ORD00233,2024-08-18,2024-08-20,48
SHIP00234,ORD00234,2026-04-17,2026-04-18,24
SHIP00235,ORD00235,2025-07-08,2025-07-15,168
SHIP00236,ORD00236,2025-02-18,2025-02-24,144
SHIP00237,ORD00237,2025-03-20,2025-03-27,168
SHIP00238,ORD00238,2025-04-03,2025-04-04,24
SHIP00239,ORD00239,2025-06-09,2025-06-12,72
SHIP00240,ORD00240,2026-02-03,2026-02-04,24
SHIP00241,ORD00241,2025-05-26,2025-06-03,192
SHIP00242,ORD00242,2024-10-17,2024-10-18,24
SHIP00243,ORD00243,2024-11-25,2024-12-02,168
SHIP00244,ORD00244,2026-02-01,2026-02-03,48
SHIP00245,ORD00245,2026-01-02,2026-01-04,48
SHIP00246,ORD00246,2025-04-17,2025-04-22,120
SHIP00247,ORD00247,2026-03-20,2026-03-24,96
SHIP00248,ORD00248,2024-12-05,2024-12-08,72
SHIP00249,ORD00249,2025-04-14,2025-04-18,96
SHIP00250,ORD00250,2026-03-02,2026-03-07,120
SHIP00251,ORD00251,2024-12-12,2024-12-21,216
SHIP00252,ORD00252,2025-08-08,2025-08-09,24
SHIP00253,ORD00253,2025-06-14,2025-06-22,192
SHIP00254,ORD00254,2024-08-02,2024-08-11,216
SHIP00255,ORD00255,2025-04-22,2025-04-24,48
SHIP00256,ORD00256,2025-03-10,2025-03-19,216
SHIP00257,ORD00257,2025-12-11,2025-12-15,96
SHIP00258,ORD00258,2025-10-27,2025-11-08,288
SHIP00259,ORD00259,2025-05-16,2025-05-22,144
SHIP00260,ORD00260,2025-09-12,2025-09-19,168
SHIP00261,ORD00261,2026-02-28,2026-03-11,264
SHIP00262,ORD00262,2024-11-30,2024-12-05,120
SHIP00263,ORD00263,2025-10-05,2025-10-12,168
SHIP00264,ORD00264,2025-12-31,2026-01-02,48
SHIP00265,ORD00265,2024-12-22,2025-01-01,240
SHIP00266,ORD00266,2026-07-13,2026-07-25,288
SHIP00267,ORD00267,2024-11-06,2024-11-13,168
SHIP00268,ORD00268,2024-11-23,2024-11-26,72
SHIP00269,ORD00269,2024-08-08,2024-08-10,48
SHIP00270,ORD00270,2024-11-01,2024-11-10,216
SHIP00271,ORD00271,2025-02-27,2025-03-10,264
SHIP00272,ORD00272,2026-05-17,2026-05-26,216
SHIP00273,ORD00273,2026-04-27,2026-05-09,288
SHIP00274,ORD00274,2026-03-20,2026-03-21,24
SHIP00275,ORD00275,2025-02-13,2025-02-14,24
SHIP00276,ORD00276,2025-01-17,2025-01-26,216
SHIP00277,ORD00277,2025-12-24,2026-01-03,240
SHIP00278,ORD00278,2025-09-23,2025-09-26,72
SHIP00279,ORD00279,2024-09-14,2024-09-15,24
SHIP00280,ORD00280,2026-03-18,2026-03-19,24
SHIP00281,ORD00281,2026-03-26,2026-04-05,240
SHIP00282,ORD00282,2025-05-21,2025-06-01,264
SHIP00283,ORD00283,2025-08-09,2025-08-15,144
SHIP00284,ORD00284,2025-10-22,2025-10-26,96
SHIP00285,ORD00285,2026-03-16,2026-03-20,96
SHIP00286,ORD00286,2025-02-15,2025-02-18,72
SHIP00287,ORD00287,2025-12-18,2025-12-24,144
SHIP00288,ORD00288,2026-02-02,2026-02-08,144
SHIP00289,ORD00289,2025-04-16,2025-04-26,240
SHIP00290,ORD00290,2024-09-04,2024-09-09,120
SHIP00291,ORD00291,2025-11-18,2025-11-29,264
SHIP00292,ORD00292,2025-09-27,2025-10-01,96
SHIP00293,ORD00293,2026-06-07,2026-06-09,48
SHIP00294,ORD00294,2024-10-09,2024-10-20,264
SHIP00295,ORD00295,2025-06-08,2025-06-11,72
SHIP00296,ORD00296,2026-01-27,2026-01-29,48
SHIP00297,ORD00297,2024-12-27,2025-01-08,288
SHIP00298,ORD00298,2024-08-12,2024-08-24,288
SHIP00299,ORD00299,2026-07-03,2026-07-15,288
SHIP00300,ORD00300,2026-02-14,2026-02-25,264
SHIP00301,ORD00301,2024-08-22,2024-08-26,96
SHIP00302,ORD00302,2025-04-02,2025-04-03,24
SHIP00303,ORD00303,2025-04-06,2025-04-17,264
SHIP00304,ORD00304,2024-09-05,2024-09-06,24
SHIP00305,ORD00305,2025-12-23,2025-12-25,48
SHIP00306,ORD00306,2024-12-17,2024-12-22,120
SHIP00307,ORD00307,2026-03-11,2026-03-16,120
SHIP00308,ORD00308,2024-09-21,2024-09-24,72
SHIP00309,ORD00309,2025-05-02,2025-05-09,168
SHIP00310,ORD00310,2025-03-02,2025-03-07,120
SHIP00311,ORD00311,2025-12-09,2025-12-18,216
SHIP00312,ORD00312,2024-12-11,2024-12-13,48
SHIP00313,ORD00313,2025-10-01,2025-10-08,168
SHIP00314,ORD00314,2025-03-21,2025-03-30,216
SHIP00315,ORD00315,2024-08-25,2024-08-26,24
SHIP00316,ORD00316,2024-10-31,2024-11-10,240
SHIP00317,ORD00317,2025-09-27,2025-10-01,96
SHIP00318,ORD00318,2026-01-23,2026-01-28,120
SHIP00319,ORD00319,2025-10-27,2025-11-05,216
SHIP00320,ORD00320,2024-12-08,2024-12-15,168
SHIP00321,ORD00321,2024-08-17,2024-08-21,96
SHIP00322,ORD00322,2025-01-11,2025-01-20,216
SHIP00323,ORD00323,2026-04-16,2026-04-18,48
SHIP00324,ORD00324,2024-09-19,2024-09-28,216
SHIP00325,ORD00325,2025-01-19,2025-01-23,96
SHIP00326,ORD00326,2024-11-03,2024-11-12,216
SHIP00327,ORD00327,2026-03-18,2026-03-23,120
SHIP00328,ORD00328,2024-07-30,2024-08-02,72
SHIP00329,ORD00329,2024-12-05,2024-12-13,192
SHIP00330,ORD00330,2026-03-01,2026-03-12,264
SHIP00331,ORD00331,2026-02-04,2026-02-08,96
SHIP00332,ORD00332,2025-01-21,2025-01-24,72
SHIP00333,ORD00333,2024-09-09,2024-09-15,144
SHIP00334,ORD00334,2025-08-03,2025-08-09,144
SHIP00335,ORD00335,2024-10-20,2024-10-24,96
SHIP00336,ORD00336,2025-01-03,2025-01-11,192
SHIP00337,ORD00337,2025-06-29,2025-07-05,144
SHIP00338,ORD00338,2024-11-18,2024-11-22,96
SHIP00339,ORD00339,2024-07-21,2024-07-30,216
SHIP00340,ORD00340,2025-01-30,2025-02-10,264
SHIP00341,ORD00341,2025-05-04,2025-05-10,144
SHIP00342,ORD00342,2025-04-08,2025-04-09,24
SHIP00343,ORD00343,2025-05-22,2025-05-27,120
SHIP00344,ORD00344,2026-05-20,2026-05-24,96
SHIP00345,ORD00345,2026-01-13,2026-01-17,96
SHIP00346,ORD00346,2026-05-29,2026-06-06,192
SHIP00347,ORD00347,2025-11-24,2025-11-28,96
SHIP00348,ORD00348,2025-05-14,2025-05-25,264
SHIP00349,ORD00349,2026-05-15,2026-05-17,48
SHIP00350,ORD00350,2024-08-17,2024-08-20,72
SHIP00351,ORD00351,2025-03-09,2025-03-16,168
SHIP00352,ORD00352,2026-05-13,2026-05-24,264
SHIP00353,ORD00353,2025-08-16,2025-08-17,24
SHIP00354,ORD00354,2025-08-23,2025-08-30,168
SHIP00355,ORD00355,2025-10-12,2025-10-14,48
SHIP00356,ORD00356,2024-09-09,2024-09-15,144
SHIP00357,ORD00357,2025-05-01,2025-05-06,120
SHIP00358,ORD00358,2025-12-11,2025-12-16,120
SHIP00359,ORD00359,2024-08-22,2024-08-25,72
SHIP00360,ORD00360,2025-09-07,2025-09-19,288
SHIP00361,ORD00361,2025-05-31,2025-06-01,24
SHIP00362,ORD00362,2026-02-28,2026-03-04,96
SHIP00363,ORD00363,2025-06-22,2025-06-23,24
SHIP00364,ORD00364,2026-05-02,2026-05-08,144
SHIP00365,ORD00365,2024-12-15,2024-12-17,48
SHIP00366,ORD00366,2024-12-19,2024-12-28,216
SHIP00367,ORD00367,2025-08-25,2025-08-27,48
SHIP00368,ORD00368,2024-10-30,2024-11-09,240
SHIP00369,ORD00369,2026-01-27,2026-02-02,144
SHIP00370,ORD00370,2025-10-04,2025-10-10,144
SHIP00371,ORD00371,2024-08-24,2024-08-29,120
SHIP00372,ORD00372,2024-08-18,2024-08-24,144
SHIP00373,ORD00373,2025-03-21,2025-03-30,216
SHIP00374,ORD00374,2025-06-20,2025-07-02,288
SHIP00375,ORD00375,2025-10-10,2025-10-20,240
SHIP00376,ORD00376,2025-12-21,2025-12-31,240
SHIP00377,ORD00377,2025-11-09,2025-11-21,288
SHIP00378,ORD00378,2024-10-21,2024-10-27,144
SHIP00379,ORD00379,2026-04-28,2026-05-09,264
SHIP00380,ORD00380,2026-02-19,2026-02-23,96
SHIP00381,ORD00381,2025-11-02,2025-11-09,168
SHIP00382,ORD00382,2025-08-22,2025-08-27,120
SHIP00383,ORD00383,2025-07-23,2025-07-27,96
SHIP00384,ORD00384,2024-10-21,2024-10-25,96
SHIP00385,ORD00385,2026-07-02,2026-07-14,288
SHIP00386,ORD00386,2025-09-17,2025-09-22,120
SHIP00387,ORD00387,2026-04-24,2026-04-26,48
SHIP00388,ORD00388,2024-12-26,2025-01-04,216
SHIP00389,ORD00389,2025-06-10,2025-06-19,216
SHIP00390,ORD00390,2024-10-02,2024-10-06,96
SHIP00391,ORD00391,2025-03-11,2025-03-17,144
SHIP00392,ORD00392,2024-07-24,2024-08-01,192
SHIP00393,ORD00393,2026-03-07,2026-03-13,144
SHIP00394,ORD00394,2026-06-04,2026-06-07,72
SHIP00395,ORD00395,2024-10-10,2024-10-17,168
SHIP00396,ORD00396,2026-03-18,2026-03-24,144
SHIP00397,ORD00397,2026-03-14,2026-03-25,264
SHIP00398,ORD00398,2025-05-03,2025-05-13,240
SHIP00399,ORD00399,2026-05-23,2026-05-25,48
SHIP00400,ORD00400,2025-06-04,2025-06-08,96
SHIP00401,ORD00401,2025-03-30,2025-04-11,288
SHIP00402,ORD00402,2026-05-28,2026-06-08,264
SHIP00403,ORD00403,2025-11-05,2025-11-07,48
SHIP00404,ORD00404,2025-02-05,2025-02-06,24
SHIP00405,ORD00405,2025-04-22,2025-05-01,216
SHIP00406,ORD00406,2025-04-12,2025-04-16,96
SHIP00407,ORD00407,2024-09-09,2024-09-19,240
SHIP00408,ORD00408,2025-03-22,2025-04-01,240
SHIP00409,ORD00409,2024-11-22,2024-11-28,144
SHIP00410,ORD00410,2026-04-30,2026-05-12,288
SHIP00411,ORD00411,2024-12-25,2024-12-31,144
SHIP00412,ORD00412,2025-09-04,2025-09-10,144
SHIP00413,ORD00413,2024-08-10,2024-08-13,72
SHIP00414,ORD00414,2024-08-29,2024-09-03,120
SHIP00415,ORD00415,2025-11-22,2025-12-02,240
SHIP00416,ORD00416,2025-12-12,2025-12-16,96
SHIP00417,ORD00417,2024-11-05,2024-11-08,72
SHIP00418,ORD00418,2025-04-10,2025-04-19,216
SHIP00419,ORD00419,2024-11-01,2024-11-03,48
SHIP00420,ORD00420,2025-02-07,2025-02-17,240
SHIP00421,ORD00421,2024-11-18,2024-11-27,216
SHIP00422,ORD00422,2024-10-06,2024-10-12,144
SHIP00423,ORD00423,2024-09-30,2024-10-02,48
SHIP00424,ORD00424,2025-11-19,2025-11-21,48
SHIP00425,ORD00425,2024-12-06,2024-12-12,144
SHIP00426,ORD00426,2024-11-19,2024-12-01,288
SHIP00427,ORD00427,2025-05-08,2025-05-17,216
SHIP00428,ORD00428,2026-04-10,2026-04-19,216
SHIP00429,ORD00429,2026-01-08,2026-01-13,120
SHIP00430,ORD00430,2024-12-16,2024-12-18,48
SHIP00431,ORD00431,2025-12-23,2026-01-01,216
SHIP00432,ORD00432,2024-12-11,2024-12-15,96
SHIP00433,ORD00433,2024-12-16,2024-12-24,192
SHIP00434,ORD00434,2026-06-10,2026-06-12,48
SHIP00435,ORD00435,2026-02-21,2026-03-02,216
SHIP00436,ORD00436,2025-07-13,2025-07-24,264
SHIP00437,ORD00437,2025-04-20,2025-04-27,168
SHIP00438,ORD00438,2024-09-06,2024-09-07,24
SHIP00439,ORD00439,2025-08-26,2025-08-29,72
SHIP00440,ORD00440,2025-05-28,2025-05-31,72
SHIP00441,ORD00441,2026-04-16,2026-04-24,192
SHIP00442,ORD00442,2026-05-11,2026-05-21,240
SHIP00443,ORD00443,2026-06-22,2026-06-29,168
SHIP00444,ORD00444,2026-04-09,2026-04-16,168
SHIP00445,ORD00445,2026-01-01,2026-01-06,120
SHIP00446,ORD00446,2024-10-12,2024-10-13,24
SHIP00447,ORD00447,2024-10-02,2024-10-04,48
SHIP00448,ORD00448,2025-07-23,2025-08-03,264
SHIP00449,ORD00449,2025-01-25,2025-02-06,288
SHIP00450,ORD00450,2025-01-14,2025-01-20,144
SHIP00451,ORD00451,2026-03-26,2026-03-29,72
SHIP00452,ORD00452,2024-11-17,2024-11-29,288
SHIP00453,ORD00453,2025-03-14,2025-03-21,168
SHIP00454,ORD00454,2025-01-05,2025-01-09,96
SHIP00455,ORD00455,2025-06-14,2025-06-25,264
SHIP00456,ORD00456,2024-09-24,2024-10-05,264
SHIP00457,ORD00457,2025-03-28,2025-04-04,168
SHIP00458,ORD00458,2024-12-17,2024-12-26,216
SHIP00459,ORD00459,2025-04-27,2025-04-30,72
SHIP00460,ORD00460,2024-09-13,2024-09-16,72
SHIP00461,ORD00461,2024-10-05,2024-10-15,240
SHIP00462,ORD00462,2025-11-11,2025-11-12,24
SHIP00463,ORD00463,2025-08-16,2025-08-24,192
SHIP00464,ORD00464,2026-04-10,2026-04-16,144
SHIP00465,ORD00465,2026-07-10,2026-07-15,120
SHIP00466,ORD00466,2025-09-27,2025-10-02,120
SHIP00467,ORD00467,2025-06-18,2025-06-25,168
SHIP00468,ORD00468,2026-07-07,2026-07-15,192
SHIP00469,ORD00469,2026-05-21,2026-05-27,144
SHIP00470,ORD00470,2025-05-09,2025-05-13,96
SHIP00471,ORD00471,2025-03-13,2025-03-18,120
SHIP00472,ORD00472,2025-07-20,2025-07-31,264
SHIP00473,ORD00473,2025-10-14,2025-10-21,168
SHIP00474,ORD00474,2025-09-10,2025-09-18,192
SHIP00475,ORD00475,2026-05-22,2026-05-23,24
SHIP00476,ORD00476,2024-11-25,2024-12-02,168
SHIP00477,ORD00477,2025-09-15,2025-09-23,192
SHIP00478,ORD00478,2025-09-18,2025-09-29,264
SHIP00479,ORD00479,2025-10-17,2025-10-19,48
SHIP00480,ORD00480,2025-11-25,2025-12-03,192
