Target_ID,Shipment_ID,Disruption_Status
TAR00272,SHIP00272,No
TAR00273,SHIP00273,Yes
TAR00274,SHIP00274,Yes
TAR00275,SHIP00275,Yes
TAR00276,SHIP00276,No
TAR00277,SHIP00277,No
TAR00278,SHIP00278,No
TAR00279,SHIP00279,Yes
TAR00280,SHIP00280,Yes
TAR00281,SHIP00281,No
TAR00282,SHIP00282,No
TAR00283,SHIP00283,No
TAR00284,SHIP00284,No
TAR00285,SHIP00285,Yes
TAR00286,SHIP00286,Yes
TAR00287,SHIP00287,No
TAR00288,SHIP00288,No
TAR00289,SHIP00289,No
TAR00290,SHIP00290,No
TAR00291,SHIP00291,No
TAR00292,SHIP00292,No
TAR00293,SHIP00293,No
TAR00294,SHIP00294,No
TAR00295,SHIP00295,No
TAR00296,SHIP00296,Yes
TAR00297,SHIP00297,No
TAR00298,SHIP00298,No
TAR00299,SHIP00299,Yes
TAR00300,SHIP00300,Yes
TAR00301,SHIP00301,No
TAR00302,SHIP00302,No
TAR00303,SHIP00303,Yes
TAR00304,SHIP00304,No
TAR00305,SHIP00305,No
TAR00306,SHIP00306,No
TAR00307,SHIP00307,Yes
TAR00308,SHIP00308,No
TAR00309,SHIP00309,No
TAR00310,SHIP00310,No
TAR00311,SHIP00311,Yes
TAR00312,SHIP00312,No
TAR00313,SHIP00313,No
TAR00314,SHIP00314,Yes
TAR00315,SHIP00315,No
TAR00316,SHIP00316,No
TAR00317,SHIP00317,Yes
TAR00318,SHIP00318,No
TAR00319,SHIP00319,No
TAR00320,SHIP00320,Yes
TAR00321,SHIP00321,No
TAR00322,SHIP00322,Yes
TAR00323,SHIP00323,No
TAR00324,SHIP00324,No
TAR00325,SHIP00325,Yes
TAR00326,SHIP00326,No
TAR00327,SHIP00327,No
TAR00328,SHIP00328,No
TAR00329,SHIP00329,Yes
TAR00330,SHIP00330,Yes
TAR00331,SHIP00331,No
TAR00332,SHIP00332,Yes
TAR00333,SHIP00333,Yes
TAR00334,SHIP00334,No
TAR00335,SHIP00335,No
TAR00336,SHIP00336,Yes
TAR00337,SHIP00337,Yes
TAR00338,SHIP00338,Yes
TAR00339,SHIP00339,No
TAR00340,SHIP00340,No
TAR00341,SHIP00341,No
TAR00342,SHIP00342,No
TAR00343,SHIP00343,No
TAR00344,SHIP00344,Yes
TAR00345,SHIP00345,No
TAR00346,SHIP00346,No
TAR00347,SHIP00347,No
TAR00348,SHIP00348,Yes
TAR00349,SHIP00349,Yes
TAR00350,SHIP00350,Yes
TAR00351,SHIP00351,No
TAR00352,SHIP00352,No
TAR00353,SHIP00353,No
TAR00354,SHIP00354,Yes
TAR00355,SHIP00355,Yes
TAR00356,SHIP00356,Yes
TAR00357,SHIP00357,No
TAR00358,SHIP00358,No
TAR00359,SHIP00359,No
TAR00360,SHIP00360,No
TAR00361,SHIP00361,No
TAR00362,SHIP00362,No
TAR00363,SHIP00363,No
TAR00364,SHIP00364,No
TAR00365,SHIP00365,Yes
TAR00366,SHIP00366,No
TAR00367,SHIP00367,Yes
TAR00368,SHIP00368,Yes
TAR00369,SHIP00369,No
TAR00370,SHIP00370,No
TAR00371,SHIP00371,Yes
TAR00372,SHIP00372,Yes
TAR00373,SHIP00373,No
TAR00374,SHIP00374,No
TAR00375,SHIP00375,No
TAR00376,SHIP00376,No
TAR00377,SHIP00377,No
TAR00378,SHIP00378,No
TAR00379,SHIP00379,No
TAR00380,SHIP00380,No
TAR00381,SHIP00381,No
TAR00382,SHIP00382,No
TAR00383,SHIP00383,Yes
TAR00384,SHIP00384,Yes
TAR00385,SHIP00385,Yes
TAR00386,SHIP00386,Yes
TAR00387,SHIP00387,No
TAR00388,SHIP00388,No
TAR00389,SHIP00389,No
TAR00390,SHIP00390,No
TAR00391,SHIP00391,No
TAR00392,SHIP00392,No
TAR00393,SHIP00393,No
TAR00394,SHIP00394,Yes
TAR00395,SHIP00395,No
TAR00396,SHIP00396,No
TAR00397,SHIP00397,Yes
TAR00398,SHIP00398,Yes
TAR00399,SHIP00399,No
TAR00400,SHIP00400,No
TAR00401,SHIP00401,No
TAR00402,SHIP00402,Yes
TAR00403,SHIP00403,No
TAR00404,SHIP00404,No
TAR00405,SHIP00405,No
TAR00406,SHIP00406,Yes
TAR00407,SHIP00407,No
TAR00408,SHIP00408,No
TAR00409,SHIP00409,No
TAR00410,SHIP00410,Yes
TAR00411,SHIP00411,No
TAR00412,SHIP00412,No
TAR00413,SHIP00413,No
TAR00414,SHIP00414,Yes
TAR00415,SHIP00415,Yes
TAR00416,SHIP00416,Yes
TAR00417,SHIP00417,Yes
TAR00418,SHIP00418,No
TAR00419,SHIP00419,No
TAR00420,SHIP00420,No
TAR00421,SHIP00421,Yes
TAR00422,SHIP00422,No
TAR00423,SHIP00423,No
TAR00424,SHIP00424,Yes
TAR00425,SHIP00425,Yes
TAR00426,SHIP00426,No
TAR00427,SHIP00427,No
TAR00428,SHIP00428,No
TAR00429,SHIP00429,Yes
TAR00430,SHIP00430,No
TAR00431,SHIP00431,No
TAR00432,SHIP00432,Yes
TAR00433,SHIP00433,No
TAR00434,SHIP00434,No
TAR00435,SHIP00435,No
TAR00436,SHIP00436,Yes
TAR00437,SHIP00437,No
TAR00438,SHIP00438,Yes
TAR00439,SHIP00439,No
TAR00440,SHIP00440,No
TAR00441,SHIP00441,No
TAR00442,SHIP00442,No
TAR00443,SHIP00443,No
TAR00444,SHIP00444,Yes
TAR00445,SHIP00445,No
TAR00446,SHIP00446,No
TAR00447,SHIP00447,Yes
TAR00448,SHIP00448,No
TAR00449,SHIP00449,No
TAR00450,SHIP00450,No
TAR00451,SHIP00451,Yes
TAR00452,SHIP00452,No
TAR00453,SHIP00453,Yes
TAR00454,SHIP00454,No
TAR00455,SHIP00455,No
TAR00456,SHIP00456,No
TAR00457,SHIP00457,No
TAR00458,SHIP00458,No
TAR00459,SHIP00459,Yes
TAR00460,SHIP00460,Yes
TAR00461,SHIP00461,No
TAR00462,SHIP00462,Yes
TAR00463,SHIP00463,No
TAR00464,SHIP00464,Yes
TAR00465,SHIP00465,No
TAR00466,SHIP00466,No
TAR00467,SHIP00467,Yes
TAR00468,SHIP00468,No
TAR00469,SHIP00469,Yes
TAR00470,SHIP00470,No
TAR00471,SHIP00471,Yes
TAR00472,SHIP00472,No
TAR00473,SHIP00473,No
TAR00474,SHIP00474,No
TAR00475,SHIP00475,No
TAR00476,SHIP00476,No
TAR00477,SHIP00477,Yes
TAR00478,SHIP00478,No
TAR00479,SHIP00479,Yes
TAR00480,SHIP00480,Yes
TAR00481,SHIP00481,No
TAR00482,SHIP00482,No
TAR00483,SHIP00483,No
TAR00484,SHIP00484,No
TAR00485,SHIP00485,Yes
TAR00486,SHIP00486,No
TAR00487,SHIP00487,Yes
TAR00488,SHIP00488,No
TAR00489,SHIP00489,Yes
TAR00490,SHIP00490,Yes
TAR00491,SHIP00491,Yes
TAR00492,SHIP00492,No
TAR00493,SHIP00493,Yes
TAR00494,SHIP00494,No
TAR00495,SHIP00495,No
TAR00496,SHIP00496,No
TAR00497,SHIP00497,No
TAR00498,SHIP00498,No
TAR00499,SHIP00499,No
TAR00500,SHIP00500,No
TAR00501,SHIP00501,Yes
TAR00502,SHIP00502,Yes
TAR00503,SHIP00503,Yes
TAR00504,SHIP00504,No
TAR00505,SHIP00505,No
TAR00506,SHIP00506,No
TAR00507,SHIP00507,No
TAR00508,SHIP00508,No
TAR00509,SHIP00509,No
TAR00510,SHIP00510,No
TAR00511,SHIP00511,No
TAR00512,SHIP00512,Yes
TAR00513,SHIP00513,No
TAR00514,SHIP00514,Yes
TAR00515,SHIP00515,No
TAR00516,SHIP00516,No
TAR00517,SHIP00517,No
TAR00518,SHIP00518,No
TAR00519,SHIP00519,No
TAR00520,SHIP00520,Yes
TAR00521,SHIP00521,No
TAR00522,SHIP00522,No
TAR00523,SHIP00523,No
TAR00524,SHIP00524,No
TAR00525,SHIP00525,Yes
TAR00526,SHIP00526,Yes
TAR00527,SHIP00527,No
TAR00528,SHIP00528,No
TAR00529,SHIP00529,Yes
TAR00530,SHIP00530,No
TAR00531,SHIP00531,Yes
TAR00532,SHIP00532,Yes
TAR00533,SHIP00533,No
TAR00534,SHIP00534,No
TAR00535,SHIP00535,No
TAR00536,SHIP00536,Yes
TAR00537,SHIP00537,Yes
TAR00538,SHIP00538,Yes
TAR00539,SHIP00539,Yes
TAR00540,SHIP00540,No
TAR00541,SHIP00541,No
TAR00542,SHIP00542,Yes
TAR00543,SHIP00543,No
TAR00544,SHIP00544,Yes
TAR00545,SHIP00545,Yes
TAR00546,SHIP00546,No
TAR00547,SHIP00547,Yes
TAR00548,SHIP00548,Yes
TAR00549,SHIP00549,Yes
TAR00550,SHIP00550,No
TAR00551,SHIP00551,Yes
TAR00552,SHIP00552,No
TAR00553,SHIP00553,No
TAR00554,SHIP00554,No
TAR00555,SHIP00555,No
TAR00556,SHIP00556,No
TAR00557,SHIP00557,Yes
TAR00558,SHIP00558,No
TAR00559,SHIP00559,No
TAR00560,SHIP00560,Yes
TAR00561,SHIP00561,No
TAR00562,SHIP00562,Yes
TAR00563,SHIP00563,Yes
TAR00564,SHIP00564,No
TAR00565,SHIP00565,No
TAR00566,SHIP00566,No
TAR00567,SHIP00567,Yes
TAR00568,SHIP00568,No
TAR00569,SHIP00569,No
TAR00570,SHIP00570,No
TAR00571,SHIP00571,No
TAR00572,SHIP00572,No
TAR00573,SHIP00573,Yes
TAR00574,SHIP00574,Yes
TAR00575,SHIP00575,No
TAR00576,SHIP00576,No
TAR00577,SHIP00577,Yes
TAR00578,SHIP00578,No
TAR00579,SHIP00579,No
TAR00580,SHIP00580,No
TAR00581,SHIP00581,No
TAR00582,SHIP00582,No
TAR00583,SHIP00583,No
TAR00584,SHIP00584,Yes
TAR00585,SHIP00585,Yes
TAR00586,SHIP00586,No
TAR00587,SHIP00587,No
TAR00588,SHIP00588,No
TAR00589,SHIP00589,No
TAR00590,SHIP00590,Yes
TAR00591,SHIP00591,No
TAR00592,SHIP00592,No
TAR00593,SHIP00593,Yes
TAR00594,SHIP00594,Yes
TAR00595,SHIP00595,No
TAR00596,SHIP00596,No
TAR00597,SHIP00597,No
TAR00598,SHIP00598,No
TAR00599,SHIP00599,No
TAR00600,SHIP00600,Yes
TAR00601,SHIP00601,No
TAR00602,SHIP00602,Yes
TAR00603,SHIP00603,No
TAR00604,SHIP00604,No
TAR00605,SHIP00605,No
TAR00606,SHIP00606,No
TAR00607,SHIP00607,No
TAR00608,SHIP00608,Yes
TAR00609,SHIP00609,No
TAR00610,SHIP00610,No
TAR00611,SHIP00611,Yes
TAR00612,SHIP00612,Yes
TAR00613,SHIP00613,No
TAR00614,SHIP00614,No
TAR00615,SHIP00615,Yes
TAR00616,SHIP00616,Yes
TAR00617,SHIP00617,No
TAR00618,SHIP00618,Yes
TAR00619,SHIP00619,Yes
TAR00620,SHIP00620,No
TAR00621,SHIP00621,Yes
TAR00622,SHIP00622,No
TAR00623,SHIP00623,Yes
TAR00624,SHIP00624,Yes
TAR00625,SHIP00625,No
TAR00626,SHIP00626,Yes
TAR00627,SHIP00627,No
TAR00628,SHIP00628,Yes
TAR00629,SHIP00629,Yes
TAR00630,SHIP00630,Yes
TAR00631,SHIP00631,Yes
TAR00632,SHIP00632,No
TAR00633,SHIP00633,Yes
TAR00634,SHIP00634,No
TAR00635,SHIP00635,No
TAR00636,SHIP00636,Yes
TAR00637,SHIP00637,No
TAR00638,SHIP00638,Yes
TAR00639,SHIP00639,No
TAR00640,SHIP00640,Yes
TAR00641,SHIP00641,No
TAR00642,SHIP00642,No
TAR00643,SHIP00643,No
TAR00644,SHIP00644,No
TAR00645,SHIP00645,No
TAR00646,SHIP00646,No
TAR00647,SHIP00647,No
TAR00648,SHIP00648,No
TAR00649,SHIP00649,Yes
TAR00650,SHIP00650,No
TAR00651,SHIP00651,No
TAR00652,SHIP00652,Yes
TAR00653,SHIP00653,No
TAR00654,SHIP00654,Yes
TAR00655,SHIP00655,Yes
TAR00656,SHIP00656,No
TAR00657,SHIP00657,Yes
TAR00658,SHIP00658,No
TAR00659,SHIP00659,No
TAR00660,SHIP00660,Yes
TAR00661,SHIP00661,Yes
TAR00662,SHIP00662,Yes
TAR00663,SHIP00663,Yes
TAR00664,SHIP00664,Yes
TAR00665,SHIP00665,Yes
TAR00666,SHIP00666,No
TAR00667,SHIP00667,No
TAR00668,SHIP00668,Yes
TAR00669,SHIP00669,Yes
TAR00670,SHIP00670,No
TAR00671,SHIP00671,No
TAR00672,SHIP00672,Yes
TAR00673,SHIP00673,No
TAR00674,SHIP00674,Yes
TAR00675,SHIP00675,No
TAR00676,SHIP00676,Yes
TAR00677,SHIP00677,No
TAR00678,SHIP00678,Yes
TAR00679,SHIP00679,Yes
TAR00680,SHIP00680,Yes
TAR00681,SHIP00681,Yes
TAR00682,SHIP00682,No
TAR00683,SHIP00683,No
TAR00684,SHIP00684,No
TAR00685,SHIP00685,No
TAR00686,SHIP00686,No
TAR00687,SHIP00687,No
TAR00688,SHIP00688,No
TAR00689,SHIP00689,No
TAR00690,SHIP00690,No
TAR00691,SHIP00691,No
TAR00692,SHIP00692,Yes
TAR00693,SHIP00693,No
TAR00694,SHIP00694,No
TAR00695,SHIP00695,Yes
TAR00696,SHIP00696,Yes
TAR00697,SHIP00697,Yes
TAR00698,SHIP00698,No
TAR00699,SHIP00699,Yes
TAR00700,SHIP00700,No
TAR00701,SHIP00701,No
TAR00702,SHIP00702,No
TAR00703,SHIP00703,Yes
TAR00704,SHIP00704,Yes
TAR00705,SHIP00705,Yes
TAR00706,SHIP00706,No
TAR00707,SHIP00707,No
TAR00708,SHIP00708,No
TAR00709,SHIP00709,No
TAR00710,SHIP00710,No
TAR00711,SHIP00711,No
TAR00712,SHIP00712,No
TAR00713,SHIP00713,Yes
TAR00714,SHIP00714,No
TAR00715,SHIP00715,Yes
TAR00716,SHIP00716,No
TAR00717,SHIP00717,No
TAR00718,SHIP00718,Yes
TAR00719,SHIP00719,No
TAR00720,SHIP00720,Yes
TAR00721,SHIP00721,Yes
TAR00722,SHIP00722,No
TAR00723,SHIP00723,Yes
TAR00724,SHIP00724,Yes
TAR00725,SHIP00725,No
TAR00726,SHIP00726,No
TAR00727,SHIP00727,No
TAR00728,SHIP00728,Yes
TAR00729,SHIP00729,Yes
TAR00730,SHIP00730,Yes
TAR00731,SHIP00731,No
TAR00732,SHIP00732,Yes
TAR00733,SHIP00733,No
TAR00734,SHIP00734,No
TAR00735,SHIP00735,No
TAR00736,SHIP00736,Yes
TAR00737,SHIP00737,No
TAR00738,SHIP00738,Yes
TAR00739,SHIP00739,No
TAR00740,SHIP00740,No
TAR00741,SHIP00741,No
TAR00742,SHIP00742,No
TAR00743,SHIP00743,Yes
TAR00744,SHIP00744,No
TAR00745,SHIP00745,No
TAR00746,SHIP00746,No
TAR00747,SHIP00747,No
TAR00748,SHIP00748,No
TAR00749,SHIP00749,No
TAR00750,SHIP00750,No
TAR00751,SHIP00751,Yes
TAR00752,SHIP00752,No
TAR00753,SHIP00753,No
TAR00754,SHIP00754,Yes
TAR00755,SHIP00755,Yes
TAR00756,SHIP00756,No
TAR00757,SHIP00757,No
TAR00758,SHIP00758,No
TAR00759,SHIP00759,Yes
TAR00760,SHIP00760,No
TAR00761,SHIP00761,No
TAR00762,SHIP00762,No
TAR00763,SHIP00763,No
TAR00764,SHIP00764,Yes
TAR00765,SHIP00765,No
TAR00766,SHIP00766,Yes
TAR00767,SHIP00767,No
TAR00768,SHIP00768,Yes
TAR00769,SHIP00769,No
TAR00770,SHIP00770,No
TAR00771,SHIP00771,No
TAR00772,SHIP00772,No
TAR00773,SHIP00773,No
TAR00774,SHIP00774,No
TAR00775,SHIP00775,No
TAR00776,SHIP00776,Yes
TAR00777,SHIP00777,Yes
TAR00778,SHIP00778,No
TAR00779,SHIP00779,No
TAR00780,SHIP00780,Yes
TAR00781,SHIP00781,Yes
TAR00782,SHIP00782,No
TAR00783,SHIP00783,Yes
TAR00784,SHIP00784,No
TAR00785,SHIP00785,Yes
TAR00786,SHIP00786,Yes
TAR00787,SHIP00787,Yes
TAR00788,SHIP00788,Yes
TAR00789,SHIP00789,No
TAR00790,SHIP00790,Yes
TAR00791,SHIP00791,No
TAR00792,SHIP00792,No
TAR00793,SHIP00793,No
TAR00794,SHIP00794,Yes
TAR00795,SHIP00795,No
TAR00796,SHIP00796,No
TAR00797,SHIP00797,No
TAR00798,SHIP00798,No
TAR00799,SHIP00799,Yes
TAR00800,SHIP00800,No
TAR00801,SHIP00801,No
TAR00802,SHIP00802,No
TAR00803,SHIP00803,No
TAR00804,SHIP00804,No
TAR00805,SHIP00805,Yes
TAR00806,SHIP00806,Yes
TAR00807,SHIP00807,No
TAR00808,SHIP00808,Yes
TAR00809,SHIP00809,No
TAR00810,SHIP00810,No
TAR00811,SHIP00811,No
TAR00812,SHIP00812,Yes
TAR00813,SHIP00813,No
TAR00814,SHIP00814,No
TAR00815,SHIP00815,Yes
TAR00816,SHIP00816,Yes
TAR00817,SHIP00817,No
TAR00818,SHIP00818,No
TAR00819,SHIP00819,No
TAR00820,SHIP00820,Yes
TAR00821,SHIP00821,No
TAR00822,SHIP00822,Yes
TAR00823,SHIP00823,No
TAR00824,SHIP00824,Yes
TAR00825,SHIP00825,No
TAR00826,SHIP00826,No
TAR00827,SHIP00827,No
TAR00828,SHIP00828,No
TAR00829,SHIP00829,Yes
TAR00830,SHIP00830,No
TAR00831,SHIP00831,Yes
TAR00832,SHIP00832,Yes
TAR00833,SHIP00833,Yes
TAR00834,SHIP00834,Yes
TAR00835,SHIP00835,No
TAR00836,SHIP00836,No
TAR00837,SHIP00837,Yes
TAR00838,SHIP00838,No
TAR00839,SHIP00839,Yes
TAR00840,SHIP00840,No
TAR00841,SHIP00841,Yes
TAR00842,SHIP00842,Yes
TAR00843,SHIP00843,Yes
TAR00844,SHIP00844,No
TAR00845,SHIP00845,Yes
TAR00846,SHIP00846,Yes
TAR00847,SHIP00847,Yes
TAR00848,SHIP00848,Yes
TAR00849,SHIP00849,No
TAR00850,SHIP00850,Yes
TAR00851,SHIP00851,No
TAR00852,SHIP00852,No
TAR00853,SHIP00853,No
TAR00854,SHIP00854,No
TAR00855,SHIP00855,Yes
TAR00856,SHIP00856,No
TAR00857,SHIP00857,Yes
TAR00858,SHIP00858,No
TAR00859,SHIP00859,No
TAR00860,SHIP00860,No
TAR00861,SHIP00861,No
TAR00862,SHIP00862,No
TAR00863,SHIP00863,Yes
TAR00864,SHIP00864,No
TAR00865,SHIP00865,No
TAR00866,SHIP00866,No
TAR00867,SHIP00867,No
TAR00868,SHIP00868,No
TAR00869,SHIP00869,No
TAR00870,SHIP00870,Yes
TAR00871,SHIP00871,No
TAR00872,SHIP00872,No
TAR00873,SHIP00873,Yes
TAR00874,SHIP00874,No
TAR00875,SHIP00875,No
TAR00876,SHIP00876,No
TAR00877,SHIP00877,No
TAR00878,SHIP00878,Yes
TAR00879,SHIP00879,No
TAR00880,SHIP00880,No
TAR00881,SHIP00881,Yes
TAR00882,SHIP00882,Yes
TAR00883,SHIP00883,No
TAR00884,SHIP00884,Yes
TAR00885,SHIP00885,No
TAR00886,SHIP00886,No
TAR00887,SHIP00887,No
