Order_ID,Supplier_ID,Warehouse_ID,Customer_Priority
ORD00097,SUP228,WH036,High
ORD00098,SUP281,WH045,Medium
ORD00099,SUP123,WH004,Medium
ORD00100,SUP031,WH039,High
ORD00101,SUP268,WH045,Low
ORD00102,SUP128,WH047,Low
ORD00103,SUP127,WH023,Medium
ORD00104,SUP014,WH020,Medium
ORD00105,SUP024,WH034,Medium
ORD00106,SUP298,WH012,Medium
ORD00107,SUP045,WH019,Low
ORD00108,SUP150,WH002,High
ORD00109,SUP036,WH003,Low
ORD00110,SUP013,WH009,Low
ORD00111,SUP047,WH029,Low
ORD00112,SUP173,WH007,Medium
ORD00113,SUP055,WH004,Low
ORD00114,SUP134,WH046,High
ORD00115,SUP037,WH016,Low
ORD00116,SUP122,WH015,Low
ORD00117,SUP015,WH049,Medium
ORD00118,SUP041,WH004,High
ORD00119,SUP059,WH016,Low
ORD00120,SUP271,WH043,Medium
ORD00121,SUP081,WH036,Low
ORD00122,SUP176,WH006,High
ORD00123,SUP237,WH043,High
ORD00124,SUP237,WH008,Medium
ORD00125,SUP128,WH022,Low
ORD00126,SUP099,WH025,High
ORD00127,SUP108,WH004,High
ORD00128,SUP289,WH047,Low
ORD00129,SUP124,WH019,Medium
ORD00130,SUP128,WH012,High
ORD00131,SUP265,WH013,Low
ORD00132,SUP111,WH003,Medium
ORD00133,SUP259,WH043,Medium
ORD00134,SUP015,WH031,High
ORD00135,SUP297,WH023,Low
ORD00136,SUP196,WH038,High
ORD00137,SUP194,WH045,Medium
ORD00138,SUP173,WH007,Low
ORD00139,SUP130,WH048,Medium
ORD00140,SUP289,WH010,Medium
ORD00141,SUP178,WH021,Medium
ORD00142,SUP054,WH045,High
ORD00143,SUP213,WH015,High
ORD00144,SUP065,WH024,High
ORD00145,SUP124,WH046,Medium
ORD00146,SUP097,WH050,Medium
ORD00147,SUP173,WH026,Low
ORD00148,SUP249,WH034,Low
ORD00149,SUP062,WH009,Low
ORD00150,SUP113,WH038,High
ORD00151,SUP136,WH036,Low
ORD00152,SUP231,WH030,Medium
ORD00153,SUP220,WH003,Low
ORD00154,SUP035,WH049,High
ORD00155,SUP143,WH002,Medium
ORD00156,SUP017,WH001,Low
ORD00157,SUP136,WH026,High
ORD00158,SUP091,WH034,High
ORD00159,SUP053,WH003,Low
ORD00160,SUP260,WH033,Medium
ORD00161,SUP156,WH017,Medium
ORD00162,SUP082,WH039,Low
ORD00163,SUP102,WH001,Medium
ORD00164,SUP278,WH021,High
ORD00165,SUP163,WH008,Low
ORD00166,SUP162,WH012,High
ORD00167,SUP215,WH050,Medium
ORD00168,SUP244,WH016,High
ORD00169,SUP131,WH014,Low
ORD00170,SUP073,WH031,Low
ORD00171,SUP003,WH050,Low
ORD00172,SUP160,WH046,Medium
ORD00173,SUP011,WH038,Medium
ORD00174,SUP017,WH029,High
ORD00175,SUP079,WH034,High
ORD00176,SUP123,WH017,High
ORD00177,SUP089,WH023,Low
ORD00178,SUP165,WH015,Low
ORD00179,SUP258,WH002,Low
ORD00180,SUP210,WH026,High
ORD00181,SUP292,WH007,Low
ORD00182,SUP001,WH010,Medium
ORD00183,SUP268,WH008,High
ORD00184,SUP217,WH012,Low
ORD00185,SUP060,WH037,High
ORD00186,SUP045,WH013,Low
ORD00187,SUP268,WH044,Medium
ORD00188,SUP126,WH013,Medium
ORD00189,SUP043,WH044,High
ORD00190,SUP173,WH032,Medium
ORD00191,SUP193,WH023,Low
ORD00192,SUP190,WH003,High
ORD00193,SUP256,WH001,Low
ORD00194,SUP163,WH043,Low
ORD00195,SUP107,WH035,High
ORD00196,SUP254,WH038,Low
ORD00197,SUP004,WH029,Medium
ORD00198,SUP095,WH027,Medium
ORD00199,SUP133,WH026,Low
ORD00200,SUP085,WH014,Low
ORD00201,SUP196,WH027,High
ORD00202,SUP046,WH014,Low
ORD00203,SUP091,WH040,Medium
ORD00204,SUP068,WH034,Medium
ORD00205,SUP123,WH010,High
ORD00206,SUP223,WH048,Medium
ORD00207,SUP155,WH039,Medium
ORD00208,SUP031,WH001,High
ORD00209,SUP188,WH022,Low
ORD00210,SUP299,WH002,High
ORD00211,SUP141,WH049,Low
ORD00212,SUP118,WH033,Medium
ORD00213,SUP214,WH003,Low
ORD00214,SUP023,WH003,Low
ORD00215,SUP102,WH017,High
ORD00216,SUP106,WH042,High
ORD00217,SUP108,WH034,High
ORD00218,SUP130,WH040,Medium
ORD00219,SUP063,WH007,Low
ORD00220,SUP049,WH038,High
ORD00221,SUP296,WH036,Low
ORD00222,SUP028,WH025,Low
ORD00223,SUP146,WH031,Medium
ORD00224,SUP189,WH013,High
ORD00225,SUP009,WH035,High
ORD00226,SUP146,WH022,Low
ORD00227,SUP220,WH029,Low
ORD00228,SUP085,WH005,Low
ORD00229,SUP111,WH040,Low
ORD00230,SUP051,WH050,High
ORD00231,SUP155,WH022,Low
ORD00232,SUP007,WH006,Medium
ORD00233,SUP039,WH010,High
ORD00234,SUP075,WH045,Medium
ORD00235,SUP165,WH037,Low
ORD00236,SUP128,WH024,Medium
ORD00237,SUP268,WH044,High
ORD00238,SUP219,WH007,High
ORD00239,SUP283,WH044,Medium
ORD00240,SUP083,WH014,Medium
ORD00241,SUP034,WH038,Low
ORD00242,SUP170,WH021,Medium
ORD00243,SUP276,WH033,High
ORD00244,SUP196,WH036,High
ORD00245,SUP003,WH010,High
ORD00246,SUP218,WH032,Medium
ORD00247,SUP099,WH014,Low
ORD00248,SUP230,WH025,High
ORD00249,SUP060,WH021,Medium
ORD00250,SUP023,WH035,Medium
ORD00251,SUP223,WH050,High
ORD00252,SUP231,WH020,Low
ORD00253,SUP243,WH032,Low
ORD00254,SUP109,WH034,High
ORD00255,SUP294,WH045,Medium
ORD00256,SUP075,WH042,High
ORD00257,SUP010,WH041,Low
ORD00258,SUP245,WH012,Medium
ORD00259,SUP289,WH006,Low
ORD00260,SUP197,WH008,Low
ORD00261,SUP203,WH044,High
ORD00262,SUP009,WH019,High
ORD00263,SUP111,WH002,High
ORD00264,SUP117,WH029,High
ORD00265,SUP123,WH004,High
ORD00266,SUP031,WH018,High
ORD00267,SUP255,WH002,High
ORD00268,SUP253,WH041,Low
ORD00269,SUP271,WH015,Low
ORD00270,SUP250,WH046,Medium
ORD00271,SUP044,WH015,Medium
ORD00272,SUP079,WH015,High
ORD00273,SUP286,WH011,Medium
ORD00274,SUP158,WH004,High
ORD00275,SUP191,WH019,High
ORD00276,SUP190,WH003,Medium
ORD00277,SUP096,WH028,Medium
ORD00278,SUP179,WH009,High
ORD00279,SUP235,WH031,High
ORD00280,SUP238,WH032,High
ORD00281,SUP171,WH010,Low
ORD00282,SUP253,WH010,Medium
ORD00283,SUP019,WH023,High
ORD00284,SUP073,WH002,Low
ORD00285,SUP131,WH039,High
ORD00286,SUP246,WH012,Medium
ORD00287,SUP038,WH014,Low
ORD00288,SUP253,WH045,High
ORD00289,SUP063,WH030,Low
ORD00290,SUP237,WH015,Low
ORD00291,SUP075,WH029,High
ORD00292,SUP297,WH037,Medium
ORD00293,SUP300,WH024,High
ORD00294,SUP216,WH050,Low
ORD00295,SUP111,WH047,Low
ORD00296,SUP217,WH013,Medium
ORD00297,SUP251,WH011,High
ORD00298,SUP071,WH032,Low
ORD00299,SUP034,WH044,Medium
ORD00300,SUP249,WH024,Medium
ORD00301,SUP194,WH045,Medium
ORD00302,SUP141,WH014,Low
ORD00303,SUP228,WH045,High
ORD00304,SUP050,WH025,Low
ORD00305,SUP040,WH007,Medium
ORD00306,SUP069,WH041,High
ORD00307,SUP241,WH027,High
ORD00308,SUP147,WH015,Low
ORD00309,SUP207,WH003,Medium
ORD00310,SUP274,WH001,Low
ORD00311,SUP212,WH017,Low
ORD00312,SUP158,WH029,Medium
ORD00313,SUP152,WH014,Low
ORD00314,SUP293,WH017,High
ORD00315,SUP088,WH010,High
ORD00316,SUP197,WH037,Medium
ORD00317,SUP190,WH038,Low
ORD00318,SUP052,WH029,Medium
ORD00319,SUP264,WH030,Low
ORD00320,SUP091,WH050,High
ORD00321,SUP212,WH040,Medium
ORD00322,SUP017,WH025,Low
ORD00323,SUP172,WH030,Low
ORD00324,SUP136,WH014,Medium
ORD00325,SUP187,WH007,Medium
ORD00326,SUP277,WH043,Medium
ORD00327,SUP198,WH002,Low
ORD00328,SUP037,WH021,Medium
ORD00329,SUP181,WH028,Low
ORD00330,SUP221,WH013,Medium
ORD00331,SUP016,WH023,Low
ORD00332,SUP070,WH025,Medium
ORD00333,SUP056,WH002,High
ORD00334,SUP153,WH050,Low
ORD00335,SUP079,WH035,Medium
ORD00336,SUP008,WH041,High
ORD00337,SUP165,WH032,High
ORD00338,SUP067,WH013,High
ORD00339,SUP284,WH033,Medium
ORD00340,SUP163,WH001,Medium
ORD00341,SUP082,WH005,Low
ORD00342,SUP065,WH001,High
ORD00343,SUP177,WH016,Low
ORD00344,SUP024,WH035,High
ORD00345,SUP060,WH006,High
ORD00346,SUP193,WH009,Medium
ORD00347,SUP036,WH003,Medium
ORD00348,SUP021,WH032,Low
ORD00349,SUP299,WH030,High
ORD00350,SUP278,WH011,Medium
ORD00351,SUP017,WH048,Low
ORD00352,SUP014,WH012,Low
ORD00353,SUP100,WH006,Low
ORD00354,SUP263,WH012,Medium
ORD00355,SUP197,WH033,Low
ORD00356,SUP006,WH042,Medium
ORD00357,SUP144,WH009,Low
ORD00358,SUP049,WH020,Medium
ORD00359,SUP260,WH013,Medium
ORD00360,SUP129,WH038,Low
ORD00361,SUP257,WH035,High
ORD00362,SUP144,WH049,High
ORD00363,SUP298,WH008,High
ORD00364,SUP254,WH001,High
ORD00365,SUP096,WH038,Medium
ORD00366,SUP120,WH009,High
ORD00367,SUP227,WH022,High
ORD00368,SUP125,WH038,Medium
ORD00369,SUP164,WH016,Medium
ORD00370,SUP216,WH048,Medium
ORD00371,SUP297,WH019,Medium
ORD00372,SUP257,WH035,High
ORD00373,SUP129,WH009,Medium
ORD00374,SUP278,WH025,High
ORD00375,SUP220,WH016,Medium
ORD00376,SUP084,WH024,Medium
ORD00377,SUP002,WH044,Medium
ORD00378,SUP175,WH022,High
ORD00379,SUP198,WH024,Medium
ORD00380,SUP073,WH015,Medium
ORD00381,SUP166,WH015,Low
ORD00382,SUP044,WH024,Low
ORD00383,SUP231,WH020,Medium
ORD00384,SUP102,WH001,Low
ORD00385,SUP052,WH033,Medium
ORD00386,SUP133,WH018,Low
ORD00387,SUP242,WH027,Medium
ORD00388,SUP183,WH005,Medium
ORD00389,SUP226,WH002,Low
ORD00390,SUP046,WH004,High
ORD00391,SUP295,WH039,Medium
ORD00392,SUP091,WH005,Medium
ORD00393,SUP230,WH029,Medium
ORD00394,SUP188,WH016,Medium
ORD00395,SUP023,WH034,Medium
ORD00396,SUP237,WH046,Medium
ORD00397,SUP013,WH005,Low
ORD00398,SUP272,WH010,High
ORD00399,SUP069,WH008,Low
ORD00400,SUP099,WH037,Low
ORD00401,SUP265,WH018,Low
ORD00402,SUP023,WH022,High
ORD00403,SUP205,WH019,High
ORD00404,SUP165,WH030,High
ORD00405,SUP143,WH044,High
ORD00406,SUP069,WH044,Medium
ORD00407,SUP275,WH011,Low
ORD00408,SUP189,WH036,Medium
ORD00409,SUP097,WH039,Low
ORD00410,SUP267,WH045,Medium
ORD00411,SUP277,WH014,High
ORD00412,SUP092,WH042,High
ORD00413,SUP039,WH048,Medium
ORD00414,SUP249,WH034,Medium
ORD00415,SUP169,WH012,Low
ORD00416,SUP124,WH030,High
ORD00417,SUP053,WH020,Medium
ORD00418,SUP077,WH013,Low
ORD00419,SUP022,WH016,Medium
ORD00420,SUP244,WH003,Medium
ORD00421,SUP168,WH023,Low
ORD00422,SUP239,WH034,Low
ORD00423,SUP240,WH036,High
ORD00424,SUP224,WH041,Low
ORD00425,SUP124,WH032,Medium
ORD00426,SUP021,WH040,Medium
ORD00427,SUP280,WH003,High
ORD00428,SUP150,WH026,High
ORD00429,SUP200,WH022,Low
ORD00430,SUP279,WH014,Low
ORD00431,SUP210,WH049,Low
ORD00432,SUP057,WH016,Low
ORD00433,SUP193,WH025,Medium
ORD00434,SUP290,WH030,Medium
ORD00435,SUP011,WH033,Medium
ORD00436,SUP256,WH001,Low
ORD00437,SUP157,WH050,Low
ORD00438,SUP100,WH035,Medium
ORD00439,SUP023,WH019,Low
ORD00440,SUP156,WH012,High
ORD00441,SUP039,WH040,High
ORD00442,SUP103,WH010,High
ORD00443,SUP069,WH041,Low
ORD00444,SUP287,WH008,Medium
ORD00445,SUP176,WH039,Medium
ORD00446,SUP259,WH039,Medium
ORD00447,SUP091,WH022,High
ORD00448,SUP240,WH001,Medium
ORD00449,SUP254,WH002,High
ORD00450,SUP054,WH037,Medium
ORD00451,SUP235,WH028,Medium
ORD00452,SUP292,WH006,Medium
ORD00453,SUP033,WH036,Medium
ORD00454,SUP105,WH011,High
ORD00455,SUP270,WH038,Low
ORD00456,SUP208,WH030,Low
ORD00457,SUP099,WH050,Low
ORD00458,SUP213,WH035,Medium
ORD00459,SUP075,WH045,Low
ORD00460,SUP116,WH026,Medium
ORD00461,SUP062,WH004,Low
ORD00462,SUP127,WH002,Medium
ORD00463,SUP206,WH042,Medium
ORD00464,SUP263,WH030,Low
ORD00465,SUP211,WH011,Medium
ORD00466,SUP097,WH014,Medium
ORD00467,SUP032,WH010,Medium
ORD00468,SUP020,WH038,High
ORD00469,SUP214,WH012,Low
ORD00470,SUP071,WH002,Medium
ORD00471,SUP049,WH035,High
ORD00472,SUP266,WH005,Low
ORD00473,SUP270,WH043,Low
ORD00474,SUP237,WH047,Low
ORD00475,SUP167,WH038,Medium
ORD00476,SUP002,WH006,Low
ORD00477,SUP039,WH030,Medium
ORD00478,SUP021,WH007,High
ORD00479,SUP100,WH011,Low
ORD00480,SUP053,WH012,High
ORD00481,SUP178,WH028,Medium
ORD00482,SUP004,WH045,Medium
ORD00483,SUP209,WH032,Medium
ORD00484,SUP231,WH015,High
ORD00485,SUP258,WH048,Low
ORD00486,SUP157,WH008,High
ORD00487,SUP065,WH001,High
ORD00488,SUP262,WH032,High
ORD00489,SUP214,WH001,Medium
ORD00490,SUP033,WH030,Low
ORD00491,SUP201,WH006,Low
ORD00492,SUP045,WH028,High
ORD00493,SUP087,WH001,High
ORD00494,SUP282,WH027,Low
ORD00495,SUP202,WH010,Medium
ORD00496,SUP103,WH043,High
ORD00497,SUP129,WH037,Medium
ORD00498,SUP238,WH047,Medium
ORD00499,SUP016,WH015,High
ORD00500,SUP175,WH024,Low
ORD00501,SUP234,WH014,Medium
ORD00502,SUP286,WH007,High
ORD00503,SUP040,WH050,High
ORD00504,SUP217,WH028,Low
ORD00505,SUP104,WH015,Low
ORD00506,SUP248,WH025,Low
ORD00507,SUP251,WH028,High
ORD00508,SUP061,WH003,High
ORD00509,SUP216,WH046,Medium
ORD00510,SUP246,WH022,High
ORD00511,SUP112,WH019,Medium
ORD00512,SUP180,WH028,High
ORD00513,SUP186,WH025,Medium
ORD00514,SUP043,WH040,High
ORD00515,SUP266,WH048,Medium
ORD00516,SUP024,WH026,Low
ORD00517,SUP115,WH048,Low
ORD00518,SUP153,WH021,High
ORD00519,SUP065,WH003,Low
ORD00520,SUP267,WH027,Low
ORD00521,SUP089,WH036,Medium
ORD00522,SUP151,WH033,High
ORD00523,SUP295,WH042,Medium
ORD00524,SUP030,WH001,Medium
ORD00525,SUP125,WH035,Medium
ORD00526,SUP245,WH014,Medium
ORD00527,SUP237,WH031,Medium
ORD00528,SUP159,WH005,Medium
ORD00529,SUP046,WH024,Low
ORD00530,SUP046,WH045,Medium
ORD00531,SUP160,WH036,High
ORD00532,SUP286,WH029,Medium
ORD00533,SUP113,WH020,High
ORD00534,SUP175,WH005,Medium
ORD00535,SUP293,WH036,Low
ORD00536,SUP163,WH023,High
ORD00537,SUP189,WH038,Medium
ORD00538,SUP053,WH016,Low
ORD00539,SUP250,WH002,Medium
ORD00540,SUP247,WH044,Medium
ORD00541,SUP132,WH018,Medium
ORD00542,SUP024,WH003,Low
ORD00543,SUP259,WH023,Low
ORD00544,SUP210,WH001,High
ORD00545,SUP215,WH015,Low
ORD00546,SUP272,WH008,High
ORD00547,SUP030,WH041,Medium
ORD00548,SUP100,WH004,Low
ORD00549,SUP067,WH030,Medium
ORD00550,SUP292,WH002,Medium
ORD00551,SUP038,WH004,High
ORD00552,SUP236,WH043,Medium
ORD00553,SUP202,WH019,Low
ORD00554,SUP214,WH006,Low
ORD00555,SUP032,WH009,Low
ORD00556,SUP103,WH022,Low
ORD00557,SUP163,WH003,Low
ORD00558,SUP156,WH013,Medium
ORD00559,SUP242,WH021,Low
ORD00560,SUP078,WH025,High
ORD00561,SUP213,WH034,Low
ORD00562,SUP037,WH032,Medium
ORD00563,SUP064,WH021,Low
ORD00564,SUP161,WH050,High
ORD00565,SUP253,WH035,Low
ORD00566,SUP208,WH027,High
ORD00567,SUP231,WH011,Low
ORD00568,SUP297,WH049,Medium
ORD00569,SUP048,WH036,High
ORD00570,SUP080,WH032,High
ORD00571,SUP188,WH033,Medium
ORD00572,SUP227,WH036,High
ORD00573,SUP007,WH046,Medium
ORD00574,SUP137,WH016,High
ORD00575,SUP145,WH006,Low
ORD00576,SUP293,WH018,Low
ORD00577,SUP105,WH012,High
ORD00578,SUP024,WH015,Medium
ORD00579,SUP110,WH023,Low
ORD00580,SUP226,WH017,Medium
ORD00581,SUP070,WH036,Low
ORD00582,SUP163,WH007,Medium
ORD00583,SUP016,WH045,High
ORD00584,SUP208,WH003,Low
ORD00585,SUP172,WH038,Low
ORD00586,SUP046,WH050,Low
ORD00587,SUP046,WH015,Medium
ORD00588,SUP074,WH017,Low
ORD00589,SUP034,WH004,Medium
ORD00590,SUP179,WH035,High
ORD00591,SUP032,WH030,Medium
ORD00592,SUP127,WH013,High
ORD00593,SUP300,WH038,High
ORD00594,SUP109,WH039,Medium
ORD00595,SUP174,WH028,Low
ORD00596,SUP265,WH040,Low
ORD00597,SUP101,WH004,Low
ORD00598,SUP068,WH009,Medium
ORD00599,SUP145,WH019,Low
ORD00600,SUP018,WH014,High
ORD00601,SUP046,WH027,Low
ORD00602,SUP273,WH018,Low
ORD00603,SUP115,WH028,Low
ORD00604,SUP082,WH040,Medium
ORD00605,SUP294,WH026,Medium
ORD00606,SUP174,WH043,Medium
ORD00607,SUP158,WH035,High
ORD00608,SUP178,WH020,High
ORD00609,SUP130,WH005,Low
ORD00610,SUP065,WH009,Medium
ORD00611,SUP022,WH028,Medium
ORD00612,SUP205,WH041,Medium
ORD00613,SUP177,WH050,Medium
ORD00614,SUP030,WH036,Low
ORD00615,SUP226,WH015,Medium
ORD00616,SUP193,WH024,Medium
ORD00617,SUP231,WH013,Medium
ORD00618,SUP133,WH002,Low
ORD00619,SUP296,WH018,Medium
ORD00620,SUP193,WH002,Low
ORD00621,SUP032,WH043,Medium
ORD00622,SUP080,WH025,Low
ORD00623,SUP137,WH021,Low
ORD00624,SUP169,WH023,Low
ORD00625,SUP157,WH011,Medium
ORD00626,SUP208,WH034,High
ORD00627,SUP147,WH004,Medium
ORD00628,SUP005,WH044,Medium
ORD00629,SUP006,WH028,High
ORD00630,SUP146,WH010,High
ORD00631,SUP035,WH012,Medium
ORD00632,SUP074,WH029,High
ORD00633,SUP147,WH045,Medium
ORD00634,SUP189,WH023,Medium
ORD00635,SUP194,WH017,Medium
ORD00636,SUP077,WH028,High
ORD00637,SUP027,WH004,High
ORD00638,SUP204,WH040,High
ORD00639,SUP011,WH005,High
ORD00640,SUP199,WH035,Medium
ORD00641,SUP034,WH007,High
ORD00642,SUP172,WH023,Low
ORD00643,SUP211,WH042,Medium
ORD00644,SUP194,WH034,High
ORD00645,SUP164,WH043,High
ORD00646,SUP224,WH023,Low
ORD00647,SUP146,WH040,Low
ORD00648,SUP285,WH049,Low
ORD00649,SUP095,WH039,Low
ORD00650,SUP121,WH010,High
ORD00651,SUP167,WH025,Medium
ORD00652,SUP116,WH019,Medium
ORD00653,SUP131,WH024,Low
ORD00654,SUP003,WH045,Medium
ORD00655,SUP194,WH049,Low
ORD00656,SUP078,WH044,Low
ORD00657,SUP238,WH027,Low
ORD00658,SUP157,WH037,High
ORD00659,SUP152,WH025,High
ORD00660,SUP082,WH013,High
ORD00661,SUP242,WH043,High
ORD00662,SUP100,WH032,Medium
ORD00663,SUP001,WH050,Low
ORD00664,SUP145,WH019,High
ORD00665,SUP070,WH035,High
ORD00666,SUP094,WH029,Low
ORD00667,SUP289,WH006,High
ORD00668,SUP294,WH022,High
ORD00669,SUP168,WH045,Medium
ORD00670,SUP001,WH005,Low
ORD00671,SUP172,WH050,Low
ORD00672,SUP224,WH010,Medium
ORD00673,SUP239,WH014,Low
ORD00674,SUP124,WH001,High
ORD00675,SUP214,WH046,High
ORD00676,SUP258,WH050,High
ORD00677,SUP095,WH043,Medium
ORD00678,SUP037,WH025,High
ORD00679,SUP081,WH034,Medium
ORD00680,SUP178,WH025,Medium
ORD00681,SUP227,WH018,Low
ORD00682,SUP019,WH018,Medium
ORD00683,SUP262,WH036,Low
ORD00684,SUP147,WH034,High
ORD00685,SUP204,WH022,Low
ORD00686,SUP181,WH031,High
ORD00687,SUP268,WH021,High
ORD00688,SUP030,WH031,High
ORD00689,SUP288,WH035,Medium
ORD00690,SUP285,WH008,Low
ORD00691,SUP256,WH014,Low
ORD00692,SUP139,WH029,High
ORD00693,SUP060,WH022,Low
ORD00694,SUP246,WH005,Low
ORD00695,SUP215,WH008,Low
ORD00696,SUP128,WH032,High
ORD00697,SUP120,WH012,Low
ORD00698,SUP045,WH001,High
ORD00699,SUP096,WH011,High
ORD00700,SUP137,WH003,Medium
ORD00701,SUP019,WH015,Medium
ORD00702,SUP164,WH029,High
ORD00703,SUP270,WH021,Medium
ORD00704,SUP124,WH050,Low
ORD00705,SUP245,WH038,Low
ORD00706,SUP226,WH041,Medium
ORD00707,SUP254,WH019,High
ORD00708,SUP143,WH002,Medium
ORD00709,SUP121,WH036,High
ORD00710,SUP109,WH046,Medium
ORD00711,SUP254,WH045,Low
ORD00712,SUP181,WH046,Medium
ORD00713,SUP198,WH010,High
ORD00714,SUP019,WH026,High
ORD00715,SUP210,WH044,Medium
ORD00716,SUP146,WH042,High
ORD00717,SUP079,WH039,Medium
ORD00718,SUP062,WH004,High
ORD00719,SUP171,WH027,Low
ORD00720,SUP204,WH009,High
ORD00721,SUP166,WH008,Medium
ORD00722,SUP125,WH004,Medium
ORD00723,SUP011,WH035,Low
ORD00724,SUP050,WH017,High
ORD00725,SUP194,WH019,Low
ORD00726,SUP224,WH003,Medium
ORD00727,SUP283,WH033,High
ORD00728,SUP109,WH036,Medium
ORD00729,SUP143,WH046,Low
ORD00730,SUP266,WH032,Low
ORD00731,SUP250,WH045,Low
ORD00732,SUP021,WH042,High
ORD00733,SUP002,WH037,Low
ORD00734,SUP104,WH011,High
ORD00735,SUP274,WH031,High
ORD00736,SUP181,WH015,Low
ORD00737,SUP175,WH005,Medium
ORD00738,SUP144,WH038,High
ORD00739,SUP272,WH020,Low
ORD00740,SUP278,WH047,Low
ORD00741,SUP196,WH011,Low
ORD00742,SUP201,WH043,High
ORD00743,SUP117,WH010,High
ORD00744,SUP033,WH016,High
ORD00745,SUP131,WH009,Medium
ORD00746,SUP030,WH035,Low
ORD00747,SUP066,WH042,Medium
ORD00748,SUP148,WH022,Low
ORD00749,SUP170,WH040,Medium
ORD00750,SUP068,WH004,Medium
ORD00751,SUP069,WH016,Medium
ORD00752,SUP063,WH022,High
ORD00753,SUP057,WH010,High
ORD00754,SUP266,WH001,Medium
ORD00755,SUP148,WH025,Medium
ORD00756,SUP266,WH024,High
ORD00757,SUP201,WH045,Low
ORD00758,SUP214,WH015,High
ORD00759,SUP276,WH035,Low
ORD00760,SUP294,WH007,Low
ORD00761,SUP144,WH023,High
ORD00762,SUP174,WH038,High
ORD00763,SUP104,WH016,Low
ORD00764,SUP101,WH028,Low
ORD00765,SUP244,WH043,High
ORD00766,SUP169,WH050,Low
ORD00767,SUP214,WH038,Low
ORD00768,SUP201,WH030,Medium
ORD00769,SUP058,WH030,High
ORD00770,SUP112,WH015,High
ORD00771,SUP111,WH036,Low
ORD00772,SUP299,WH036,Low
ORD00773,SUP248,WH048,Low
