Transport_ID,Shipment_ID,Transport_Mode,Route_Distance,Fuel_Cost
TR00182,SHIP00182,Ship,1805,4973.55
TR00183,SHIP00183,Truck,498,4787.25
TR00184,SHIP00184,Truck,1030,12361.01
TR00185,SHIP00185,Truck,942,11532.9
TR00186,SHIP00186,Rail,1808,11315.22
TR00187,SHIP00187,Truck,188,2311.38
TR00188,SHIP00188,Ship,1946,6740.63
TR00189,SHIP00189,Air,4073,98141.02
TR00190,SHIP00190,Rail,1642,10363.87
TR00191,SHIP00191,Truck,347,3225.05
TR00192,SHIP00192,Air,1061,33429.51
TR00193,SHIP00193,Truck,497,5408.33
TR00194,SHIP00194,Truck,508,6147.29
TR00195,SHIP00195,Rail,1636,10304.73
TR00196,SHIP00196,Truck,190,1730.23
TR00197,SHIP00197,Rail,1167,6020.38
TR00198,SHIP00198,Ship,3679,10423.75
TR00199,SHIP00199,Truck,691,8314.68
TR00200,SHIP00200,Ship,6310,29497.21
TR00201,SHIP00201,Truck,986,9834.69
TR00202,SHIP00202,Air,4410,99547.15
TR00203,SHIP00203,Truck,947,9550.25
TR00204,SHIP00204,Truck,772,9551.74
TR00205,SHIP00205,Rail,1680,9179.76
TR00206,SHIP00206,Truck,759,8813.33
TR00207,SHIP00207,Truck,177,1695.12
TR00208,SHIP00208,Rail,1734,7816.36
TR00209,SHIP00209,Truck,269,2610.21
TR00210,SHIP00210,Ship,6890,22547.75
TR00211,SHIP00211,Truck,328,4097.61
TR00212,SHIP00212,Truck,1065,10783.55
TR00213,SHIP00213,Ship,3731,10531.8
TR00214,SHIP00214,Rail,431,2864.97
TR00215,SHIP00215,Ship,4701,15055.72
TR00216,SHIP00216,Air,2112,58944.52
TR00217,SHIP00217,Rail,1988,13493.86
TR00218,SHIP00218,Truck,1137,14022.77
TR00219,SHIP00219,Truck,828,10616.45
TR00220,SHIP00220,Rail,2010,9295.22
TR00221,SHIP00221,Rail,525,2208.95
TR00222,SHIP00222,Rail,474,2639.33
TR00223,SHIP00223,Air,1195,36773.49
TR00224,SHIP00224,Rail,2039,10076.74
TR00225,SHIP00225,Truck,803,7295.84
TR00226,SHIP00226,Air,2985,70072.25
TR00227,SHIP00227,Ship,2117,6654.8
TR00228,SHIP00228,Truck,697,8277.97
TR00229,SHIP00229,Truck,675,7712.43
TR00230,SHIP00230,Rail,1854,11059.56
TR00231,SHIP00231,Truck,370,4473.63
TR00232,SHIP00232,Truck,219,2136.38
TR00233,SHIP00233,Rail,838,3536.4
TR00234,SHIP00234,Rail,925,6396.62
TR00235,SHIP00235,Air,4594,125671.71
TR00236,SHIP00236,Rail,1508,7606.9
TR00237,SHIP00237,Truck,996,11456.77
TR00238,SHIP00238,Truck,914,10366.36
TR00239,SHIP00239,Ship,3777,10279.51
TR00240,SHIP00240,Truck,950,9134.59
TR00241,SHIP00241,Rail,2406,12524.81
TR00242,SHIP00242,Truck,784,7166.41
TR00243,SHIP00243,Truck,732,9121.01
TR00244,SHIP00244,Truck,131,1520.26
TR00245,SHIP00245,Truck,849,7964.09
TR00246,SHIP00246,Rail,1918,11260.88
TR00247,SHIP00247,Truck,309,3496.47
TR00248,SHIP00248,Ship,1826,7186.64
TR00249,SHIP00249,Truck,356,4345.53
TR00250,SHIP00250,Truck,483,4919.77
TR00251,SHIP00251,Truck,710,7137.23
TR00252,SHIP00252,Truck,833,9528.25
TR00253,SHIP00253,Truck,1119,12124.77
TR00254,SHIP00254,Truck,793,7968.03
TR00255,SHIP00255,Truck,578,6595.54
TR00256,SHIP00256,Truck,940,9854.52
TR00257,SHIP00257,Truck,1013,11965.57
TR00258,SHIP00258,Truck,264,3071.31
TR00259,SHIP00259,Air,3074,81507.37
TR00260,SHIP00260,Air,4520,114781.66
TR00261,SHIP00261,Truck,175,1865.34
TR00262,SHIP00262,Air,1903,48755.1
TR00263,SHIP00263,Truck,223,2581.78
TR00264,SHIP00264,Ship,3185,7925.21
TR00265,SHIP00265,Truck,795,9989.03
TR00266,SHIP00266,Air,3576,80230.39
TR00267,SHIP00267,Truck,1151,14599.58
TR00268,SHIP00268,Rail,1776,7173.04
TR00269,SHIP00269,Truck,301,2778.22
TR00270,SHIP00270,Truck,709,8619.17
TR00271,SHIP00271,Rail,563,3848.84
TR00272,SHIP00272,Ship,1455,3253.79
TR00273,SHIP00273,Rail,2478,13442.69
TR00274,SHIP00274,Ship,6472,20272.4
TR00275,SHIP00275,Truck,282,2779.33
TR00276,SHIP00276,Ship,6576,16054.93
TR00277,SHIP00277,Air,3926,119994.39
TR00278,SHIP00278,Rail,1600,10635.09
TR00279,SHIP00279,Ship,6399,25265.93
TR00280,SHIP00280,Ship,3689,11519.86
TR00281,SHIP00281,Truck,183,2151.46
TR00282,SHIP00282,Truck,286,3537.74
TR00283,SHIP00283,Rail,1223,6209.36
TR00284,SHIP00284,Ship,3087,11112.2
TR00285,SHIP00285,Air,838,22404.31
TR00286,SHIP00286,Ship,3361,9503.25
TR00287,SHIP00287,Truck,641,6730.03
TR00288,SHIP00288,Truck,952,9336.11
TR00289,SHIP00289,Rail,2493,15351.19
TR00290,SHIP00290,Rail,1449,9737.98
TR00291,SHIP00291,Truck,292,3307.65
TR00292,SHIP00292,Air,4766,136958.29
TR00293,SHIP00293,Truck,557,5268.51
TR00294,SHIP00294,Air,868,22305.91
TR00295,SHIP00295,Truck,579,6244.74
TR00296,SHIP00296,Rail,1148,7300.46
TR00297,SHIP00297,Air,2896,94409.09
TR00298,SHIP00298,Ship,6478,20363.01
TR00299,SHIP00299,Truck,499,4991.85
TR00300,SHIP00300,Truck,1156,12199.28
TR00301,SHIP00301,Rail,362,2348.48
TR00302,SHIP00302,Rail,772,4947.98
TR00303,SHIP00303,Air,3502,114162.27
TR00304,SHIP00304,Truck,992,9187.81
TR00305,SHIP00305,Truck,245,2753.38
TR00306,SHIP00306,Ship,5620,25820.86
TR00307,SHIP00307,Truck,620,5713.16
TR00308,SHIP00308,Truck,995,10300.47
TR00309,SHIP00309,Ship,2747,9441.13
TR00310,SHIP00310,Air,3747,119253.1
TR00311,SHIP00311,Truck,263,2713.85
TR00312,SHIP00312,Truck,756,7218.43
TR00313,SHIP00313,Truck,1108,11567.94
TR00314,SHIP00314,Truck,589,5325.99
TR00315,SHIP00315,Rail,1073,7459.12
TR00316,SHIP00316,Rail,472,3084.82
TR00317,SHIP00317,Truck,1092,11921.68
TR00318,SHIP00318,Truck,250,2569.98
TR00319,SHIP00319,Truck,329,4052.25
TR00320,SHIP00320,Air,4664,153125.19
TR00321,SHIP00321,Truck,1199,10874.86
TR00322,SHIP00322,Truck,932,8848.3
TR00323,SHIP00323,Air,4844,166609.33
TR00324,SHIP00324,Truck,1047,13435.03
TR00325,SHIP00325,Ship,5299,26179.73
TR00326,SHIP00326,Rail,1972,12779.8
TR00327,SHIP00327,Rail,2443,12973.21
TR00328,SHIP00328,Ship,2897,12133.93
TR00329,SHIP00329,Ship,4749,12863.78
TR00330,SHIP00330,Ship,6358,26976.63
TR00331,SHIP00331,Air,2814,84996.05
TR00332,SHIP00332,Truck,1199,14505.27
TR00333,SHIP00333,Ship,4644,20877.06
TR00334,SHIP00334,Truck,141,1482.55
TR00335,SHIP00335,Truck,1123,12454.11
TR00336,SHIP00336,Truck,858,10374.48
TR00337,SHIP00337,Truck,191,2437.1
TR00338,SHIP00338,Ship,5541,25101.32
TR00339,SHIP00339,Rail,1959,10613.78
TR00340,SHIP00340,Truck,1138,12375.52
TR00341,SHIP00341,Truck,961,9716.26
TR00342,SHIP00342,Truck,341,3306.66
TR00343,SHIP00343,Ship,5135,16282.59
TR00344,SHIP00344,Ship,1003,2807.64
TR00345,SHIP00345,Rail,902,4279.13
TR00346,SHIP00346,Air,4376,145264.28
TR00347,SHIP00347,Air,1000,29219.88
TR00348,SHIP00348,Rail,989,6872.9
TR00349,SHIP00349,Truck,1088,11034.6
TR00350,SHIP00350,Truck,777,8229.86
TR00351,SHIP00351,Air,4626,124555.85
TR00352,SHIP00352,Ship,2268,6195.89
TR00353,SHIP00353,Air,3142,82174.0
TR00354,SHIP00354,Truck,1008,12616.7
TR00355,SHIP00355,Rail,1447,9859.5
TR00356,SHIP00356,Rail,448,3054.75
TR00357,SHIP00357,Truck,1087,11437.24
TR00358,SHIP00358,Rail,630,3741.07
TR00359,SHIP00359,Truck,301,3271.54
TR00360,SHIP00360,Truck,832,7903.76
TR00361,SHIP00361,Truck,547,4953.32
TR00362,SHIP00362,Truck,611,6911.71
TR00363,SHIP00363,Truck,1075,11525.03
TR00364,SHIP00364,Air,4053,111515.97
TR00365,SHIP00365,Rail,1109,7305.97
TR00366,SHIP00366,Truck,1192,11103.49
TR00367,SHIP00367,Ship,5857,21509.59
TR00368,SHIP00368,Rail,1983,8027.36
TR00369,SHIP00369,Rail,1903,8577.4
TR00370,SHIP00370,Rail,2238,12729.18
TR00371,SHIP00371,Air,3517,87702.83
TR00372,SHIP00372,Truck,262,3253.28
TR00373,SHIP00373,Rail,499,3130.18
TR00374,SHIP00374,Air,4839,161287.55
TR00375,SHIP00375,Air,1474,43703.91
TR00376,SHIP00376,Rail,540,2765.14
TR00377,SHIP00377,Air,3840,107877.14
TR00378,SHIP00378,Ship,2974,9038.43
TR00379,SHIP00379,Truck,265,3328.69
TR00380,SHIP00380,Truck,648,6814.33
TR00381,SHIP00381,Rail,1636,7905.19
TR00382,SHIP00382,Truck,417,5265.43
TR00383,SHIP00383,Ship,5482,22085.6
TR00384,SHIP00384,Ship,5941,19026.03
TR00385,SHIP00385,Truck,375,3476.5
TR00386,SHIP00386,Air,4142,109268.59
TR00387,SHIP00387,Truck,906,10424.23
TR00388,SHIP00388,Truck,1031,11309.14
TR00389,SHIP00389,Truck,820,7885.15
TR00390,SHIP00390,Rail,1656,10429.26
TR00391,SHIP00391,Air,4410,135191.83
TR00392,SHIP00392,Truck,285,2877.36
TR00393,SHIP00393,Air,2858,91670.48
TR00394,SHIP00394,Ship,1170,5558.4
TR00395,SHIP00395,Air,4799,152010.19
TR00396,SHIP00396,Truck,158,1944.21
TR00397,SHIP00397,Rail,2061,11407.69
TR00398,SHIP00398,Truck,176,2115.5
TR00399,SHIP00399,Truck,831,9040.7
TR00400,SHIP00400,Rail,2363,11363.44
TR00401,SHIP00401,Truck,909,10623.23
TR00402,SHIP00402,Ship,4352,12688.92
TR00403,SHIP00403,Rail,1754,7873.87
TR00404,SHIP00404,Truck,955,9702.92
TR00405,SHIP00405,Air,1595,35462.64
TR00406,SHIP00406,Truck,469,5191.2
TR00407,SHIP00407,Rail,1344,7661.44
TR00408,SHIP00408,Truck,835,9809.01
TR00409,SHIP00409,Rail,2087,11414.33
TR00410,SHIP00410,Ship,3763,7777.5
TR00411,SHIP00411,Rail,1330,6732.98
TR00412,SHIP00412,Truck,448,4814.09
TR00413,SHIP00413,Truck,761,9828.67
TR00414,SHIP00414,Rail,682,3034.96
TR00415,SHIP00415,Truck,682,8047.41
TR00416,SHIP00416,Ship,2271,9685.48
TR00417,SHIP00417,Truck,545,6696.26
TR00418,SHIP00418,Rail,1754,10382.93
TR00419,SHIP00419,Truck,585,5323.45
TR00420,SHIP00420,Truck,254,2504.34
TR00421,SHIP00421,Rail,2008,10575.96
TR00422,SHIP00422,Rail,1899,11716.82
TR00423,SHIP00423,Rail,2457,15076.43
TR00424,SHIP00424,Truck,821,9861.17
TR00425,SHIP00425,Air,3422,103471.16
TR00426,SHIP00426,Rail,1346,9192.33
TR00427,SHIP00427,Air,1574,54230.45
TR00428,SHIP00428,Truck,980,12178.43
TR00429,SHIP00429,Truck,299,3047.27
TR00430,SHIP00430,Truck,374,4340.55
TR00431,SHIP00431,Air,4522,130186.1
TR00432,SHIP00432,Truck,1162,10523.57
TR00433,SHIP00433,Truck,86,890.21
TR00434,SHIP00434,Truck,92,1140.98
TR00435,SHIP00435,Truck,235,2281.64
TR00436,SHIP00436,Ship,5844,26492.49
TR00437,SHIP00437,Truck,867,8324.3
TR00438,SHIP00438,Truck,740,8437.44
TR00439,SHIP00439,Truck,1122,13518.21
TR00440,SHIP00440,Truck,998,9367.67
TR00441,SHIP00441,Ship,5207,11859.82
TR00442,SHIP00442,Truck,183,2114.19
TR00443,SHIP00443,Rail,648,4241.34
TR00444,SHIP00444,Truck,258,3260.69
TR00445,SHIP00445,Truck,783,8337.82
TR00446,SHIP00446,Rail,2381,12989.57
TR00447,SHIP00447,Truck,1148,14604.49
TR00448,SHIP00448,Truck,784,7916.47
TR00449,SHIP00449,Truck,505,4674.45
TR00450,SHIP00450,Truck,285,3197.22
TR00451,SHIP00451,Rail,2293,11757.51
TR00452,SHIP00452,Truck,1016,11179.73
TR00453,SHIP00453,Truck,948,10424.77
TR00454,SHIP00454,Rail,1816,10202.17
TR00455,SHIP00455,Air,1573,36836.95
TR00456,SHIP00456,Truck,1155,14231.83
TR00457,SHIP00457,Rail,1628,9920.88
TR00458,SHIP00458,Ship,4921,18630.5
TR00459,SHIP00459,Rail,842,5387.91
TR00460,SHIP00460,Rail,2231,12016.59
TR00461,SHIP00461,Truck,331,3561.73
TR00462,SHIP00462,Truck,812,8274.14
TR00463,SHIP00463,Truck,845,9633.07
TR00464,SHIP00464,Ship,4316,17868.02
TR00465,SHIP00465,Truck,127,1427.48
TR00466,SHIP00466,Truck,113,1060.39
TR00467,SHIP00467,Truck,1015,11994.69
TR00468,SHIP00468,Truck,866,10217.78
TR00469,SHIP00469,Truck,354,3708.38
TR00470,SHIP00470,Air,3954,87135.58
TR00471,SHIP00471,Truck,458,5340.52
TR00472,SHIP00472,Truck,819,7496.25
TR00473,SHIP00473,Truck,1198,15337.3
TR00474,SHIP00474,Truck,250,2433.39
TR00475,SHIP00475,Truck,1078,11086.01
TR00476,SHIP00476,Truck,293,3441.53
TR00477,SHIP00477,Rail,1431,7419.79
TR00478,SHIP00478,Air,4099,131103.3
TR00479,SHIP00479,Truck,1192,12975.92
TR00480,SHIP00480,Ship,3858,16036.58
TR00481,SHIP00481,Truck,403,4436.45
TR00482,SHIP00482,Rail,1496,6698.41
TR00483,SHIP00483,Truck,556,6472.53
TR00484,SHIP00484,Rail,1860,7598.24
TR00485,SHIP00485,Ship,2193,6048.37
TR00486,SHIP00486,Truck,1147,10849.96
TR00487,SHIP00487,Ship,2964,14185.53
TR00488,SHIP00488,Truck,925,9203.88
TR00489,SHIP00489,Truck,1137,11183.92
TR00490,SHIP00490,Truck,403,4627.37
TR00491,SHIP00491,Truck,291,3057.72
TR00492,SHIP00492,Rail,613,2627.82
TR00493,SHIP00493,Air,3006,71344.18
TR00494,SHIP00494,Truck,365,3809.52
TR00495,SHIP00495,Ship,1151,5491.56
TR00496,SHIP00496,Rail,566,3824.18
TR00497,SHIP00497,Truck,62,788.44
TR00498,SHIP00498,Air,3891,126516.92
TR00499,SHIP00499,Truck,473,5620.0
TR00500,SHIP00500,Rail,2415,9781.92
TR00501,SHIP00501,Rail,342,1547.31
TR00502,SHIP00502,Rail,804,4768.65
TR00503,SHIP00503,Truck,714,9271.34
TR00504,SHIP00504,Truck,316,3244.26
TR00505,SHIP00505,Truck,1028,12322.98
TR00506,SHIP00506,Rail,1314,5345.07
TR00507,SHIP00507,Truck,974,9608.03
TR00508,SHIP00508,Ship,6240,29443.24
TR00509,SHIP00509,Truck,282,2604.46
TR00510,SHIP00510,Rail,2141,10580.86
TR00511,SHIP00511,Ship,6239,18277.61
TR00512,SHIP00512,Ship,6887,27730.05
TR00513,SHIP00513,Truck,955,8901.37
TR00514,SHIP00514,Rail,928,4886.41
TR00515,SHIP00515,Rail,2265,15739.61
TR00516,SHIP00516,Air,1455,39056.17
TR00517,SHIP00517,Truck,1060,12858.3
TR00518,SHIP00518,Ship,6328,12842.84
TR00519,SHIP00519,Rail,827,3471.54
TR00520,SHIP00520,Truck,1130,13968.18
TR00521,SHIP00521,Truck,1124,11632.33
TR00522,SHIP00522,Truck,674,6564.6
TR00523,SHIP00523,Rail,1128,5520.14
TR00524,SHIP00524,Ship,6732,25876.66
TR00525,SHIP00525,Ship,1752,5728.26
TR00526,SHIP00526,Truck,518,4663.5
TR00527,SHIP00527,Air,1451,36174.42
TR00528,SHIP00528,Ship,3529,10023.95
TR00529,SHIP00529,Ship,6030,20874.12
TR00530,SHIP00530,Rail,373,2319.74
TR00531,SHIP00531,Truck,594,5792.98
TR00532,SHIP00532,Air,3833,111212.51
TR00533,SHIP00533,Truck,202,2089.2
TR00534,SHIP00534,Rail,779,3214.37
TR00535,SHIP00535,Truck,1051,10836.8
TR00536,SHIP00536,Truck,106,1265.59
TR00537,SHIP00537,Air,4404,99488.79
TR00538,SHIP00538,Ship,2726,8277.77
TR00539,SHIP00539,Ship,5865,14174.51
TR00540,SHIP00540,Truck,1109,11074.75
TR00541,SHIP00541,Rail,1875,9300.28
TR00542,SHIP00542,Air,1007,24679.95
TR00543,SHIP00543,Truck,899,11234.67
TR00544,SHIP00544,Ship,5346,13597.73
TR00545,SHIP00545,Truck,395,4814.29
TR00546,SHIP00546,Rail,2395,11150.83
TR00547,SHIP00547,Air,4057,103413.03
TR00548,SHIP00548,Truck,749,8139.96
TR00549,SHIP00549,Rail,316,1739.91
TR00550,SHIP00550,Truck,762,9659.22
TR00551,SHIP00551,Truck,204,2412.43
TR00552,SHIP00552,Rail,2300,10417.6
TR00553,SHIP00553,Truck,762,9021.97
TR00554,SHIP00554,Rail,1174,5078.45
TR00555,SHIP00555,Air,2951,98230.2
TR00556,SHIP00556,Truck,1161,13759.45
TR00557,SHIP00557,Truck,899,9622.99
TR00558,SHIP00558,Truck,883,8722.67
TR00559,SHIP00559,Rail,1686,9693.65
TR00560,SHIP00560,Rail,1972,12259.29
TR00561,SHIP00561,Truck,381,3944.02
TR00562,SHIP00562,Rail,351,2202.95
TR00563,SHIP00563,Rail,1702,11728.33
TR00564,SHIP00564,Truck,143,1726.46
TR00565,SHIP00565,Rail,525,3094.83
TR00566,SHIP00566,Truck,969,9822.56
TR00567,SHIP00567,Ship,6046,15934.11
TR00568,SHIP00568,Truck,128,1308.44
TR00569,SHIP00569,Air,3306,77920.17
TR00570,SHIP00570,Truck,821,9745.27
TR00571,SHIP00571,Rail,2417,9992.99
TR00572,SHIP00572,Rail,2162,13225.4
TR00573,SHIP00573,Ship,4662,17782.07
TR00574,SHIP00574,Truck,786,9421.73
TR00575,SHIP00575,Air,2792,67682.04
TR00576,SHIP00576,Truck,294,2706.36
TR00577,SHIP00577,Ship,1387,3393.38
TR00578,SHIP00578,Truck,852,7727.93
TR00579,SHIP00579,Truck,956,11512.62
TR00580,SHIP00580,Truck,1054,10999.43
TR00581,SHIP00581,Air,4775,108956.7
TR00582,SHIP00582,Ship,1808,8489.58
TR00583,SHIP00583,Rail,2426,16507.97
TR00584,SHIP00584,Truck,1140,11263.71
TR00585,SHIP00585,Ship,1959,5708.54
TR00586,SHIP00586,Air,4264,101078.62
TR00587,SHIP00587,Truck,652,6476.99
TR00588,SHIP00588,Air,3929,123964.35
TR00589,SHIP00589,Truck,822,9270.78
TR00590,SHIP00590,Rail,1454,8466.66
TR00591,SHIP00591,Truck,686,6713.04
TR00592,SHIP00592,Rail,949,6486.87
TR00593,SHIP00593,Truck,910,9270.51
TR00594,SHIP00594,Ship,6877,19898.58
