Metric_ID,Shipment_ID,Delivery_Cost,Delay_Hours,Customer_Priority
MET00053,SHIP00053,17168.3,11,High
MET00054,SHIP00054,29267.58,1,Low
MET00055,SHIP00055,28016.81,18,Low
MET00056,SHIP00056,31051.86,18,Low
MET00057,SHIP00057,28950.07,6,Medium
MET00058,SHIP00058,15205.41,6,Low
MET00059,SHIP00059,189802.35,14,High
MET00060,SHIP00060,105823.34,5,High
MET00061,SHIP00061,12552.16,18,Low
MET00062,SHIP00062,14918.94,30,Medium
MET00063,SHIP00063,15416.93,31,Low
MET00064,SHIP00064,205438.42,7,High
MET00065,SHIP00065,16376.82,15,High
MET00066,SHIP00066,337014.12,6,Medium
MET00067,SHIP00067,20480.05,17,Low
MET00068,SHIP00068,22094.7,25,Low
MET00069,SHIP00069,38756.69,32,High
MET00070,SHIP00070,16838.82,7,Medium
MET00071,SHIP00071,5687.57,45,Low
MET00072,SHIP00072,17184.0,32,Medium
MET00073,SHIP00073,54047.47,29,Medium
MET00074,SHIP00074,26785.02,19,High
MET00075,SHIP00075,5850.23,15,Medium
MET00076,SHIP00076,16372.94,13,High
MET00077,SHIP00077,26037.35,4,Low
MET00078,SHIP00078,14522.26,41,High
MET00079,SHIP00079,6285.24,6,Medium
MET00080,SHIP00080,42725.62,20,Medium
MET00081,SHIP00081,41464.23,36,Low
MET00082,SHIP00082,25698.66,7,Medium
MET00083,SHIP00083,107548.39,1,Low
MET00084,SHIP00084,24854.56,13,High
MET00085,SHIP00085,29100.44,6,High
MET00086,SHIP00086,19747.29,3,High
MET00087,SHIP00087,56461.62,24,Medium
MET00088,SHIP00088,335872.5,21,Low
MET00089,SHIP00089,42987.91,31,High
MET00090,SHIP00090,7009.24,9,Low
MET00091,SHIP00091,58344.15,26,Low
MET00092,SHIP00092,13329.01,11,High
MET00093,SHIP00093,16735.37,15,High
MET00094,SHIP00094,14981.99,23,Low
MET00095,SHIP00095,50057.64,28,Low
MET00096,SHIP00096,28265.53,40,High
MET00097,SHIP00097,16830.16,14,Medium
MET00098,SHIP00098,21445.7,18,Low
MET00099,SHIP00099,5870.09,17,Medium
MET00100,SHIP00100,331517.22,2,Low
MET00101,SHIP00101,8448.16,12,Medium
MET00102,SHIP00102,306805.02,24,Low
MET00103,SHIP00103,18307.37,5,Medium
MET00104,SHIP00104,7945.67,9,High
MET00105,SHIP00105,16161.0,6,High
MET00106,SHIP00106,13818.26,6,Medium
MET00107,SHIP00107,29275.43,9,High
MET00108,SHIP00108,12503.07,39,Low
MET00109,SHIP00109,101416.81,17,High
MET00110,SHIP00110,6191.79,8,Medium
MET00111,SHIP00111,17194.79,10,Low
MET00112,SHIP00112,15390.66,18,Medium
MET00113,SHIP00113,5059.99,15,Low
MET00114,SHIP00114,17376.51,2,Medium
MET00115,SHIP00115,24056.53,4,Medium
MET00116,SHIP00116,25725.44,13,High
MET00117,SHIP00117,4248.96,5,Low
MET00118,SHIP00118,5625.85,8,Medium
MET00119,SHIP00119,11216.85,3,High
MET00120,SHIP00120,5338.95,18,Medium
MET00121,SHIP00121,65698.47,7,Medium
MET00122,SHIP00122,219253.79,15,High
MET00123,SHIP00123,26781.06,18,High
MET00124,SHIP00124,20942.79,17,Low
MET00125,SHIP00125,7349.53,15,Low
MET00126,SHIP00126,22378.45,20,Medium
MET00127,SHIP00127,10152.31,6,Medium
MET00128,SHIP00128,3581.33,9,Medium
MET00129,SHIP00129,14443.0,5,High
MET00130,SHIP00130,244907.76,5,Low
MET00131,SHIP00131,87538.51,0,Low
MET00132,SHIP00132,46571.85,30,Low
MET00133,SHIP00133,6413.33,20,Medium
MET00134,SHIP00134,19559.25,18,Medium
MET00135,SHIP00135,222400.53,10,Medium
MET00136,SHIP00136,14024.34,0,High
MET00137,SHIP00137,14130.57,37,High
MET00138,SHIP00138,31224.43,16,Low
MET00139,SHIP00139,17349.49,5,Low
MET00140,SHIP00140,19054.3,8,Medium
MET00141,SHIP00141,14669.7,34,High
MET00142,SHIP00142,17844.35,20,Medium
MET00143,SHIP00143,3374.89,7,Low
MET00144,SHIP00144,18084.01,33,High
MET00145,SHIP00145,28177.19,15,Medium
MET00146,SHIP00146,29788.71,26,Medium
MET00147,SHIP00147,16192.31,12,High
MET00148,SHIP00148,7953.03,39,High
MET00149,SHIP00149,28076.24,27,Low
MET00150,SHIP00150,113343.14,1,Low
MET00151,SHIP00151,22746.02,9,Medium
MET00152,SHIP00152,48093.53,10,High
MET00153,SHIP00153,24665.09,7,Medium
MET00154,SHIP00154,28766.96,1,High
MET00155,SHIP00155,16913.72,14,High
MET00156,SHIP00156,11608.57,17,Medium
MET00157,SHIP00157,27317.01,30,High
MET00158,SHIP00158,16093.78,20,Medium
MET00159,SHIP00159,4368.18,22,Medium
MET00160,SHIP00160,315851.99,1,Low
MET00161,SHIP00161,14866.35,24,Medium
MET00162,SHIP00162,18911.87,6,High
MET00163,SHIP00163,19127.34,17,Low
MET00164,SHIP00164,9166.33,39,Low
MET00165,SHIP00165,9277.17,11,Medium
MET00166,SHIP00166,20908.73,39,High
MET00167,SHIP00167,14985.85,9,Low
MET00168,SHIP00168,25864.56,24,Medium
MET00169,SHIP00169,3371.63,11,Low
MET00170,SHIP00170,28629.69,27,Low
MET00171,SHIP00171,268272.44,31,Low
MET00172,SHIP00172,41330.29,29,Low
MET00173,SHIP00173,17133.89,5,High
MET00174,SHIP00174,4658.77,37,High
MET00175,SHIP00175,12019.19,6,Medium
MET00176,SHIP00176,29665.68,7,High
MET00177,SHIP00177,27802.09,0,High
MET00178,SHIP00178,14620.05,15,Medium
MET00179,SHIP00179,33020.55,2,Low
MET00180,SHIP00180,75465.39,2,Low
MET00181,SHIP00181,5551.39,18,Low
MET00182,SHIP00182,17413.55,6,Low
MET00183,SHIP00183,12502.25,14,High
MET00184,SHIP00184,26118.01,19,High
MET00185,SHIP00185,24463.9,24,Low
MET00186,SHIP00186,27041.22,35,High
MET00187,SHIP00187,5711.38,8,High
MET00188,SHIP00188,19664.63,7,Low
MET00189,SHIP00189,242545.02,15,High
MET00190,SHIP00190,25441.87,5,Medium
MET00191,SHIP00191,8388.05,2,High
MET00192,SHIP00192,72626.51,15,Low
MET00193,SHIP00193,12662.33,5,Low
MET00194,SHIP00194,13757.29,14,Medium
MET00195,SHIP00195,24953.73,0,Low
MET00196,SHIP00196,5302.23,3,Medium
MET00197,SHIP00197,16768.38,11,Medium
MET00198,SHIP00198,33989.75,6,Medium
MET00199,SHIP00199,17801.68,8,Low
MET00200,SHIP00200,69328.21,10,Low
MET00201,SHIP00201,22718.69,25,Low
MET00202,SHIP00202,255093.15,23,Medium
MET00203,SHIP00203,22225.25,0,High
MET00204,SHIP00204,20375.74,7,High
MET00205,SHIP00205,24574.76,35,High
MET00206,SHIP00206,19489.33,17,Low
MET00207,SHIP00207,5686.12,13,Low
MET00208,SHIP00208,23272.36,18,Medium
MET00209,SHIP00209,7136.21,1,Low
MET00210,SHIP00210,65849.75,28,Low
MET00211,SHIP00211,9781.61,17,High
MET00212,SHIP00212,25327.55,14,Low
MET00213,SHIP00213,34608.8,36,High
MET00214,SHIP00214,7348.97,4,Low
MET00215,SHIP00215,45368.72,38,Medium
MET00216,SHIP00216,133829.52,13,Medium
MET00217,SHIP00217,30976.86,21,High
MET00218,SHIP00218,29069.77,8,High
MET00219,SHIP00219,21771.45,0,High
MET00220,SHIP00220,27086.22,11,Medium
MET00221,SHIP00221,8072.95,20,Medium
MET00222,SHIP00222,8405.33,2,High
MET00223,SHIP00223,80065.49,2,High
MET00224,SHIP00224,27925.74,26,Low
MET00225,SHIP00225,17985.84,27,Medium
MET00226,SHIP00226,175967.25,31,High
MET00227,SHIP00227,21363.8,11,High
MET00228,SHIP00228,18522.97,12,High
MET00229,SHIP00229,17844.43,33,High
MET00230,SHIP00230,27807.56,9,Medium
MET00231,SHIP00231,10299.63,8,Low
MET00232,SHIP00232,6587.38,19,Low
MET00233,SHIP00233,11721.4,7,Medium
MET00234,SHIP00234,15124.62,35,High
MET00235,SHIP00235,288182.71,22,Medium
MET00236,SHIP00236,20980.9,16,Low
MET00237,SHIP00237,25247.77,9,High
MET00238,SHIP00238,22918.36,9,Low
MET00239,SHIP00239,34021.51,27,High
MET00240,SHIP00240,21880.59,17,Low
MET00241,SHIP00241,32880.81,7,Medium
MET00242,SHIP00242,18484.41,12,Medium
MET00243,SHIP00243,19874.01,3,Low
MET00244,SHIP00244,4676.26,31,Low
MET00245,SHIP00245,19289.09,2,Low
MET00246,SHIP00246,27605.88,16,Medium
MET00247,SHIP00247,8223.47,13,Medium
MET00248,SHIP00248,19346.64,18,Low
MET00249,SHIP00249,9764.53,2,Medium
MET00250,SHIP00250,12349.77,1,Medium
MET00251,SHIP00251,17096.23,19,Low
MET00252,SHIP00252,21043.25,7,Low
MET00253,SHIP00253,27244.77,15,Low
MET00254,SHIP00254,18739.03,24,Low
MET00255,SHIP00255,14812.54,17,Medium
MET00256,SHIP00256,23105.52,31,Medium
MET00257,SHIP00257,25956.57,1,Low
MET00258,SHIP00258,8063.31,12,High
MET00259,SHIP00259,190109.37,14,High
MET00260,SHIP00260,274407.66,13,Medium
MET00261,SHIP00261,4812.34,12,Low
MET00262,SHIP00262,117137.1,14,Low
MET00263,SHIP00263,6340.78,22,High
MET00264,SHIP00264,28299.21,12,Low
MET00265,SHIP00265,20471.03,5,High
MET00266,SHIP00266,206967.39,7,Medium
MET00267,SHIP00267,29263.58,16,High
MET00268,SHIP00268,22379.04,5,Medium
MET00269,SHIP00269,7716.22,25,Medium
MET00270,SHIP00270,19170.17,5,High
MET00271,SHIP00271,9723.84,9,Medium
MET00272,SHIP00272,13020.79,17,Medium
MET00273,SHIP00273,34520.69,33,Low
MET00274,SHIP00274,60128.4,28,Low
MET00275,SHIP00275,7938.33,39,Low
MET00276,SHIP00276,57497.93,13,High
MET00277,SHIP00277,258896.39,1,Medium
MET00278,SHIP00278,24547.09,7,High
MET00279,SHIP00279,65564.93,46,Low
MET00280,SHIP00280,35018.86,26,High
MET00281,SHIP00281,5538.46,1,Medium
MET00282,SHIP00282,8448.74,17,Medium
MET00283,SHIP00283,17508.36,11,Low
MET00284,SHIP00284,30531.2,13,Low
MET00285,SHIP00285,53379.31,14,Low
MET00286,SHIP00286,31566.25,18,High
MET00287,SHIP00287,16351.03,6,Medium
MET00288,SHIP00288,21948.11,15,High
MET00289,SHIP00289,36626.19,11,Medium
MET00290,SHIP00290,23535.98,13,High
MET00291,SHIP00291,7932.65,3,High
MET00292,SHIP00292,305481.29,7,Medium
MET00293,SHIP00293,13863.51,5,Medium
MET00294,SHIP00294,54366.91,6,Low
MET00295,SHIP00295,14209.74,16,Medium
MET00296,SHIP00296,18147.46,22,Low
MET00297,SHIP00297,197753.09,7,Medium
MET00298,SHIP00298,60812.01,3,High
MET00299,SHIP00299,12870.85,25,Medium
MET00300,SHIP00300,27314.28,13,Low
MET00301,SHIP00301,6481.48,12,Medium
MET00302,SHIP00302,12801.98,5,High
MET00303,SHIP00303,238488.27,21,Medium
MET00304,SHIP00304,22801.81,9,Low
MET00305,SHIP00305,6992.38,4,High
MET00306,SHIP00306,61318.86,17,Medium
MET00307,SHIP00307,14938.16,36,Medium
MET00308,SHIP00308,23845.47,16,Low
MET00309,SHIP00309,27758.13,8,Low
MET00310,SHIP00310,251545.1,0,High
MET00311,SHIP00311,7416.85,28,High
MET00312,SHIP00312,18080.43,19,High
MET00313,SHIP00313,26069.94,2,Low
MET00314,SHIP00314,14406.99,21,High
MET00315,SHIP00315,17808.12,9,Low
MET00316,SHIP00316,8272.82,16,High
MET00317,SHIP00317,25886.68,15,Low
MET00318,SHIP00318,7437.98,1,High
MET00319,SHIP00319,9618.25,15,High
MET00320,SHIP00320,318243.19,12,High
MET00321,SHIP00321,26754.86,5,High
MET00322,SHIP00322,21827.3,29,Medium
MET00323,SHIP00323,337803.33,1,Medium
MET00324,SHIP00324,27785.03,8,Medium
MET00325,SHIP00325,60237.73,35,High
MET00326,SHIP00326,30533.8,9,Medium
MET00327,SHIP00327,33723.21,9,Low
MET00328,SHIP00328,31100.93,14,Medium
MET00329,SHIP00329,42750.78,33,Medium
MET00330,SHIP00330,66299.63,15,High
MET00331,SHIP00331,185079.05,5,Medium
MET00332,SHIP00332,30601.27,16,Medium
MET00333,SHIP00333,49883.06,31,High
MET00334,SHIP00334,4524.55,14,High
MET00335,SHIP00335,27081.11,8,Low
MET00336,SHIP00336,21851.48,21,Medium
MET00337,SHIP00337,6718.1,32,Low
MET00338,SHIP00338,59833.32,26,Low
MET00339,SHIP00339,27702.78,8,High
MET00340,SHIP00340,27739.52,3,Medium
MET00341,SHIP00341,22549.26,5,Medium
MET00342,SHIP00342,8461.66,4,Low
MET00343,SHIP00343,48687.59,8,High
MET00344,SHIP00344,10766.64,38,Medium
MET00345,SHIP00345,12525.13,7,Low
MET00346,SHIP00346,299729.28,0,Medium
MET00347,SHIP00347,65368.88,15,High
MET00348,SHIP00348,16688.9,17,Low
MET00349,SHIP00349,25567.6,39,Low
MET00350,SHIP00350,19037.86,16,Low
MET00351,SHIP00351,287477.85,0,Low
MET00352,SHIP00352,21766.89,4,Medium
MET00353,SHIP00353,194037.0,5,Medium
MET00354,SHIP00354,26406.7,33,Low
MET00355,SHIP00355,22387.5,26,Low
MET00356,SHIP00356,7547.75,23,High
MET00357,SHIP00357,26182.24,8,Medium
MET00358,SHIP00358,9944.07,10,Low
MET00359,SHIP00359,8182.54,17,Medium
MET00360,SHIP00360,19346.76,9,Low
MET00361,SHIP00361,13641.32,12,Medium
MET00362,SHIP00362,15079.71,9,Medium
MET00363,SHIP00363,26038.03,1,Medium
MET00364,SHIP00364,254805.97,7,High
MET00365,SHIP00365,17825.97,25,High
MET00366,SHIP00366,27001.49,8,High
MET00367,SHIP00367,58561.59,18,High
MET00368,SHIP00368,24904.36,17,High
MET00369,SHIP00369,25790.4,4,Medium
MET00370,SHIP00370,32339.18,18,High
MET00371,SHIP00371,212465.83,14,Low
MET00372,SHIP00372,7224.28,24,Medium
MET00373,SHIP00373,8554.18,22,High
MET00374,SHIP00374,332293.55,10,Medium
MET00375,SHIP00375,96961.91,10,Medium
MET00376,SHIP00376,9135.14,1,High
MET00377,SHIP00377,243118.14,6,High
MET00378,SHIP00378,28867.43,12,Low
MET00379,SHIP00379,7705.69,3,Medium
MET00380,SHIP00380,16124.33,0,Low
MET00381,SHIP00381,22634.19,5,Low
MET00382,SHIP00382,11883.43,4,Medium
MET00383,SHIP00383,55877.6,14,Low
MET00384,SHIP00384,56601.03,37,High
MET00385,SHIP00385,9689.5,23,High
MET00386,SHIP00386,255349.59,29,Low
MET00387,SHIP00387,22893.23,15,High
MET00388,SHIP00388,25429.14,13,Medium
MET00389,SHIP00389,18931.15,3,High
MET00390,SHIP00390,25747.26,3,High
MET00391,SHIP00391,291252.83,0,Medium
MET00392,SHIP00392,7387.36,18,Medium
MET00393,SHIP00393,193150.48,1,High
MET00394,SHIP00394,14009.4,21,High
MET00395,SHIP00395,321262.19,6,Medium
MET00396,SHIP00396,5362.21,5,High
MET00397,SHIP00397,29720.69,28,Medium
MET00398,SHIP00398,5268.5,13,High
MET00399,SHIP00399,20076.7,18,Medium
MET00400,SHIP00400,31752.44,7,Low
MET00401,SHIP00401,23064.23,3,Low
MET00402,SHIP00402,40318.92,20,Low
MET00403,SHIP00403,23509.87,18,High
MET00404,SHIP00404,23086.92,11,Low
MET00405,SHIP00405,92895.64,10,High
MET00406,SHIP00406,11658.2,15,High
MET00407,SHIP00407,20388.44,6,Low
MET00408,SHIP00408,21301.01,7,Medium
MET00409,SHIP00409,29469.33,2,Low
MET00410,SHIP00410,31703.5,26,High
MET00411,SHIP00411,18890.98,19,Low
MET00412,SHIP00412,11769.09,5,Medium
MET00413,SHIP00413,20420.67,6,Medium
MET00414,SHIP00414,9367.96,14,High
MET00415,SHIP00415,18071.41,24,Medium
MET00416,SHIP00416,24956.48,23,High
MET00417,SHIP00417,14950.26,13,Medium
MET00418,SHIP00418,25876.93,11,Low
MET00419,SHIP00419,13719.45,3,Low
MET00420,SHIP00420,6603.34,3,Medium
MET00421,SHIP00421,28121.96,30,Medium
MET00422,SHIP00422,28262.82,9,Low
MET00423,SHIP00423,36441.43,12,Medium
MET00424,SHIP00424,21412.17,22,High
MET00425,SHIP00425,224731.16,36,Low
MET00426,SHIP00426,21520.33,7,Medium
MET00427,SHIP00427,110655.45,8,Low
MET00428,SHIP00428,25381.43,19,Low
MET00429,SHIP00429,8670.27,15,Medium
MET00430,SHIP00430,10590.55,11,High
MET00431,SHIP00431,289985.1,6,Low
MET00432,SHIP00432,25681.57,16,Low
MET00433,SHIP00433,3185.21,16,Low
MET00434,SHIP00434,3586.98,6,Medium
MET00435,SHIP00435,7203.64,6,Medium
MET00436,SHIP00436,63275.49,31,High
MET00437,SHIP00437,19789.3,9,High
MET00438,SHIP00438,19053.44,29,Low
MET00439,SHIP00439,28279.21,10,Medium
MET00440,SHIP00440,22831.67,6,High
MET00441,SHIP00441,44420.82,10,High
MET00442,SHIP00442,5943.19,8,Medium
MET00443,SHIP00443,11489.34,8,Medium
MET00444,SHIP00444,7889.69,33,High
MET00445,SHIP00445,18935.82,1,High
MET00446,SHIP00446,34017.57,5,Medium
MET00447,SHIP00447,29713.49,16,High
MET00448,SHIP00448,18347.47,8,Low
MET00449,SHIP00449,12679.45,5,Medium
MET00450,SHIP00450,7624.22,1,High
MET00451,SHIP00451,31328.51,15,High
MET00452,SHIP00452,24715.73,7,Medium
MET00453,SHIP00453,22725.77,34,Medium
MET00454,SHIP00454,26507.17,17,Low
MET00455,SHIP00455,93547.95,5,Medium
MET00456,SHIP00456,29955.83,14,High
MET00457,SHIP00457,23890.88,12,High
MET00458,SHIP00458,49826.5,4,High
MET00459,SHIP00459,13773.91,29,Low
MET00460,SHIP00460,31701.59,14,High
MET00461,SHIP00461,8885.73,12,Low
MET00462,SHIP00462,19707.14,28,Low
MET00463,SHIP00463,21247.07,12,Low
MET00464,SHIP00464,45578.02,31,Low
MET00465,SHIP00465,4711.48,9,High
MET00466,SHIP00466,3339.39,5,Low
MET00467,SHIP00467,26314.69,12,High
MET00468,SHIP00468,21643.78,24,Low
MET00469,SHIP00469,9174.38,32,Medium
MET00470,SHIP00470,226777.58,1,High
MET00471,SHIP00471,12596.52,21,High
MET00472,SHIP00472,18425.25,1,High
MET00473,SHIP00473,30769.3,7,Medium
MET00474,SHIP00474,7184.39,5,Low
MET00475,SHIP00475,25105.01,18,High
MET00476,SHIP00476,8669.53,17,High
MET00477,SHIP00477,19918.79,15,High
MET00478,SHIP00478,276335.3,1,Low
MET00479,SHIP00479,28831.92,22,Low
MET00480,SHIP00480,40559.58,16,High
MET00481,SHIP00481,11022.45,5,Low
MET00482,SHIP00482,19857.41,6,High
MET00483,SHIP00483,15100.53,12,Medium
MET00484,SHIP00484,23313.24,10,Low
MET00485,SHIP00485,20433.37,25,Low
MET00486,SHIP00486,26299.96,3,Low
MET00487,SHIP00487,32907.53,15,High
MET00488,SHIP00488,21212.88,8,Low
MET00489,SHIP00489,26480.92,23,Low
MET00490,SHIP00490,11330.37,26,Low
MET00491,SHIP00491,7859.72,20,High
MET00492,SHIP00492,9583.82,4,Medium
MET00493,SHIP00493,178360.18,24,Medium
MET00494,SHIP00494,9986.52,2,Medium
MET00495,SHIP00495,13660.56,10,Low
MET00496,SHIP00496,9630.18,6,High
MET00497,SHIP00497,3124.44,9,Low
MET00498,SHIP00498,264738.92,12,Medium
MET00499,SHIP00499,13506.0,1,Medium
MET00500,SHIP00500,30554.92,11,Medium
MET00501,SHIP00501,6259.31,22,High
MET00502,SHIP00502,13035.65,41,High
MET00503,SHIP00503,18623.34,24,Medium
MET00504,SHIP00504,8421.26,10,Medium
MET00505,SHIP00505,26051.98,18,Low
MET00506,SHIP00506,17850.07,10,Medium
MET00507,SHIP00507,22671.03,2,Low
MET00508,SHIP00508,67814.24,5,High
MET00509,SHIP00509,7434.46,7,Low
MET00510,SHIP00510,28806.86,5,Low
MET00511,SHIP00511,57033.61,5,Medium
MET00512,SHIP00512,70347.05,20,Medium
MET00513,SHIP00513,21314.37,13,Low
MET00514,SHIP00514,13730.41,24,Medium
MET00515,SHIP00515,35415.61,10,Low
MET00516,SHIP00516,91608.17,2,Medium
MET00517,SHIP00517,27295.3,9,High
MET00518,SHIP00518,52445.84,24,Medium
MET00519,SHIP00519,11078.54,0,Medium
MET00520,SHIP00520,29143.18,15,Low
MET00521,SHIP00521,26895.33,9,High
MET00522,SHIP00522,16426.6,1,High
MET00523,SHIP00523,15418.14,14,High
MET00524,SHIP00524,68315.66,13,Medium
MET00525,SHIP00525,17515.26,27,Medium
MET00526,SHIP00526,12403.5,41,High
MET00527,SHIP00527,88580.42,2,Low
MET00528,SHIP00528,32541.95,15,High
MET00529,SHIP00529,59012.12,15,Medium
MET00530,SHIP00530,6941.74,9,Medium
MET00531,SHIP00531,15106.98,12,Medium
MET00532,SHIP00532,246466.51,22,High
MET00533,SHIP00533,6601.2,13,High
MET00534,SHIP00534,10741.37,6,Medium
MET00535,SHIP00535,24934.8,11,Medium
MET00536,SHIP00536,3865.59,16,Low
MET00537,SHIP00537,255219.79,24,High
MET00538,SHIP00538,26403.77,36,High
MET00539,SHIP00539,50504.51,41,Low
MET00540,SHIP00540,26188.75,1,Medium
MET00541,SHIP00541,26194.28,5,High
MET00542,SHIP00542,60938.95,14,Medium
MET00543,SHIP00543,23392.67,3,Medium
MET00544,SHIP00544,47716.73,30,Medium
MET00545,SHIP00545,11086.29,15,High
MET00546,SHIP00546,32362.83,6,High
MET00547,SHIP00547,246384.03,37,High
MET00548,SHIP00548,19221.96,22,Medium
MET00549,SHIP00549,5512.91,33,Medium
MET00550,SHIP00550,19955.22,0,Medium
MET00551,SHIP00551,6014.43,22,Medium
MET00552,SHIP00552,30392.6,6,Low
MET00553,SHIP00553,19609.97,15,High
MET00554,SHIP00554,16239.45,18,High
MET00555,SHIP00555,203066.2,1,High
MET00556,SHIP00556,28737.45,6,High
MET00557,SHIP00557,22191.99,26,Low
MET00558,SHIP00558,20318.67,13,Medium
MET00559,SHIP00559,24467.65,5,Low
MET00560,SHIP00560,29687.29,12,High
MET00561,SHIP00561,10650.02,5,High
MET00562,SHIP00562,6489.95,13,High
MET00563,SHIP00563,26214.33,22,Medium
MET00564,SHIP00564,4695.46,2,High
MET00565,SHIP00565,9062.83,6,Low
MET00566,SHIP00566,22648.56,7,High
MET00567,SHIP00567,53471.11,28,Medium
MET00568,SHIP00568,3835.44,10,Low
MET00569,SHIP00569,195302.17,16,High
MET00570,SHIP00570,21229.27,0,High
MET00571,SHIP00571,30574.99,5,High
MET00572,SHIP00572,31944.4,14,High
MET00573,SHIP00573,47595.07,14,Low
MET00574,SHIP00574,20441.73,15,Low
MET00575,SHIP00575,167116.04,0,High
MET00576,SHIP00576,7942.36,15,Low
MET00577,SHIP00577,13607.38,21,Medium
MET00578,SHIP00578,19424.93,2,Medium
MET00579,SHIP00579,24755.62,7,Medium
MET00580,SHIP00580,25253.43,16,Low
MET00581,SHIP00581,277992.7,0,Medium
MET00582,SHIP00582,20777.58,11,High
MET00583,SHIP00583,37583.97,10,Low
MET00584,SHIP00584,26161.71,30,High
MET00585,SHIP00585,18348.54,27,High
MET00586,SHIP00586,251551.62,5,Low
MET00587,SHIP00587,16038.99,1,High
MET00588,SHIP00588,262569.35,2,High
MET00589,SHIP00589,20813.78,24,Medium
MET00590,SHIP00590,21500.66,15,Low
MET00591,SHIP00591,16547.04,4,High
MET00592,SHIP00592,15375.87,10,Medium
MET00593,SHIP00593,21491.51,16,Low
MET00594,SHIP00594,62621.58,31,Low
MET00595,SHIP00595,29647.58,6,Medium
MET00596,SHIP00596,6386.81,15,Medium
MET00597,SHIP00597,9946.95,0,High
MET00598,SHIP00598,14497.7,9,High
MET00599,SHIP00599,27187.87,13,High
MET00600,SHIP00600,19317.36,22,High
MET00601,SHIP00601,9180.63,5,Medium
MET00602,SHIP00602,28077.99,23,High
MET00603,SHIP00603,13594.41,19,Medium
MET00604,SHIP00604,20117.48,0,Low
MET00605,SHIP00605,9510.42,18,Medium
MET00606,SHIP00606,28682.61,3,Medium
MET00607,SHIP00607,37424.18,17,Low
MET00608,SHIP00608,13921.76,42,Medium
MET00609,SHIP00609,238727.01,13,Medium
MET00610,SHIP00610,29179.96,15,High
MET00611,SHIP00611,23290.96,22,Low
MET00612,SHIP00612,26732.42,15,Low
MET00613,SHIP00613,14757.24,4,Low
MET00614,SHIP00614,217591.72,17,High
MET00615,SHIP00615,17418.49,25,High
MET00616,SHIP00616,25215.04,12,High
MET00617,SHIP00617,11440.41,13,Medium
MET00618,SHIP00618,15557.47,39,Medium
MET00619,SHIP00619,59055.63,18,High
MET00620,SHIP00620,293968.13,6,High
MET00621,SHIP00621,16042.87,23,High
MET00622,SHIP00622,21669.37,4,Low
MET00623,SHIP00623,9157.08,23,Low
MET00624,SHIP00624,5861.86,12,High
MET00625,SHIP00625,228002.21,13,Low
MET00626,SHIP00626,47515.27,28,Low
MET00627,SHIP00627,13710.44,0,Medium
MET00628,SHIP00628,11436.34,30,High
MET00629,SHIP00629,12911.49,40,Medium
MET00630,SHIP00630,10767.62,27,High
MET00631,SHIP00631,12441.57,24,High
MET00632,SHIP00632,20770.08,3,Low
MET00633,SHIP00633,112888.38,13,High
