External_ID,Shipment_ID,Weather_Condition,Traffic_Level,Port_Congestion,Holiday_Flag
EXT00081,SHIP00081,Rainy,Low,Yes,No
EXT00082,SHIP00082,Sunny,Medium,No,No
EXT00083,SHIP00083,Cloudy,Low,No,No
EXT00084,SHIP00084,Sunny,High,No,No
EXT00085,SHIP00085,Cloudy,Medium,No,No
EXT00086,SHIP00086,Sunny,Low,No,No
EXT00087,SHIP00087,Rainy,Low,No,Yes
EXT00088,SHIP00088,Sunny,High,No,Yes
EXT00089,SHIP00089,Rainy,Low,Yes,No
EXT00090,SHIP00090,Sunny,Medium,No,No
EXT00091,SHIP00091,Sunny,Low,Yes,No
EXT00092,SHIP00092,Rainy,Low,No,No
EXT00093,SHIP00093,Rainy,Medium,No,No
EXT00094,SHIP00094,Fog,High,No,No
EXT00095,SHIP00095,Sunny,High,No,Yes
EXT00096,SHIP00096,Storm,High,No,No
EXT00097,SHIP00097,Rainy,Low,No,No
EXT00098,SHIP00098,Cloudy,High,No,No
EXT00099,SHIP00099,Fog,Medium,No,No
EXT00100,SHIP00100,Sunny,Low,No,No
EXT00101,SHIP00101,Cloudy,High,No,No
EXT00102,SHIP00102,Storm,Low,No,No
EXT00103,SHIP00103,Sunny,Medium,No,No
EXT00104,SHIP00104,Cloudy,Medium,No,No
EXT00105,SHIP00105,Sunny,Medium,No,No
EXT00106,SHIP00106,Cloudy,Medium,No,No
EXT00107,SHIP00107,Cloudy,Low,No,Yes
EXT00108,SHIP00108,Storm,High,No,No
EXT00109,SHIP00109,Rainy,Medium,No,No
EXT00110,SHIP00110,Sunny,Medium,No,No
EXT00111,SHIP00111,Cloudy,Medium,No,No
EXT00112,SHIP00112,Rainy,Medium,No,No
EXT00113,SHIP00113,Sunny,High,No,No
EXT00114,SHIP00114,Sunny,Low,No,No
EXT00115,SHIP00115,Cloudy,Low,No,No
EXT00116,SHIP00116,Sunny,Medium,No,Yes
EXT00117,SHIP00117,Sunny,Medium,No,No
EXT00118,SHIP00118,Cloudy,Medium,No,No
EXT00119,SHIP00119,Cloudy,Low,No,No
EXT00120,SHIP00120,Rainy,Medium,No,No
EXT00121,SHIP00121,Sunny,Medium,No,No
EXT00122,SHIP00122,Fog,Medium,No,No
EXT00123,SHIP00123,Rainy,Low,No,Yes
EXT00124,SHIP00124,Rainy,Medium,No,No
EXT00125,SHIP00125,Sunny,High,No,No
EXT00126,SHIP00126,Rainy,Medium,No,No
EXT00127,SHIP00127,Sunny,Medium,No,No
EXT00128,SHIP00128,Fog,Low,No,No
EXT00129,SHIP00129,Sunny,Medium,No,No
EXT00130,SHIP00130,Sunny,Medium,No,No
EXT00131,SHIP00131,Sunny,Low,No,No
EXT00132,SHIP00132,Rainy,Low,Yes,No
EXT00133,SHIP00133,Cloudy,High,No,Yes
EXT00134,SHIP00134,Cloudy,Medium,No,Yes
EXT00135,SHIP00135,Fog,Low,No,No
EXT00136,SHIP00136,Sunny,Low,No,No
EXT00137,SHIP00137,Storm,Medium,No,No
EXT00138,SHIP00138,Rainy,Low,No,No
EXT00139,SHIP00139,Sunny,Medium,No,No
EXT00140,SHIP00140,Cloudy,Medium,No,No
EXT00141,SHIP00141,Sunny,High,Yes,No
EXT00142,SHIP00142,Fog,High,No,No
EXT00143,SHIP00143,Sunny,Medium,No,No
EXT00144,SHIP00144,Fog,High,No,Yes
EXT00145,SHIP00145,Sunny,Medium,No,Yes
EXT00146,SHIP00146,Rainy,High,No,No
EXT00147,SHIP00147,Sunny,High,No,No
EXT00148,SHIP00148,Storm,High,No,No
EXT00149,SHIP00149,Sunny,Medium,Yes,No
EXT00150,SHIP00150,Cloudy,Low,No,No
EXT00151,SHIP00151,Fog,Low,No,No
EXT00152,SHIP00152,Sunny,Medium,No,No
EXT00153,SHIP00153,Sunny,Medium,No,No
EXT00154,SHIP00154,Sunny,Low,No,No
EXT00155,SHIP00155,Sunny,Medium,No,Yes
EXT00156,SHIP00156,Fog,Medium,No,No
EXT00157,SHIP00157,Storm,Medium,No,No
EXT00158,SHIP00158,Fog,High,No,No
EXT00159,SHIP00159,Rainy,High,No,No
EXT00160,SHIP00160,Cloudy,Low,No,No
EXT00161,SHIP00161,Rainy,Medium,No,Yes
EXT00162,SHIP00162,Sunny,Medium,No,No
EXT00163,SHIP00163,Rainy,Medium,No,No
EXT00164,SHIP00164,Storm,Medium,No,Yes
EXT00165,SHIP00165,Sunny,Low,No,Yes
EXT00166,SHIP00166,Storm,Medium,No,Yes
EXT00167,SHIP00167,Sunny,Low,No,Yes
EXT00168,SHIP00168,Fog,High,No,No
EXT00169,SHIP00169,Cloudy,Low,No,Yes
EXT00170,SHIP00170,Fog,Medium,No,Yes
EXT00171,SHIP00171,Storm,Medium,No,No
EXT00172,SHIP00172,Sunny,Medium,Yes,No
EXT00173,SHIP00173,Sunny,Medium,No,No
EXT00174,SHIP00174,Storm,High,No,No
EXT00175,SHIP00175,Sunny,Low,No,No
EXT00176,SHIP00176,Sunny,Medium,No,No
EXT00177,SHIP00177,Cloudy,Low,No,No
EXT00178,SHIP00178,Sunny,High,No,No
EXT00179,SHIP00179,Sunny,Low,No,No
EXT00180,SHIP00180,Sunny,Low,No,No
EXT00181,SHIP00181,Rainy,Medium,No,No
EXT00182,SHIP00182,Sunny,Low,No,No
EXT00183,SHIP00183,Fog,Medium,No,No
EXT00184,SHIP00184,Rainy,Medium,No,No
EXT00185,SHIP00185,Storm,Low,No,No
EXT00186,SHIP00186,Storm,Medium,No,No
EXT00187,SHIP00187,Sunny,Medium,No,No
EXT00188,SHIP00188,Sunny,Medium,No,No
EXT00189,SHIP00189,Sunny,Medium,No,Yes
EXT00190,SHIP00190,Cloudy,Low,No,No
EXT00191,SHIP00191,Sunny,Low,No,No
EXT00192,SHIP00192,Rainy,Medium,No,No
EXT00193,SHIP00193,Cloudy,Medium,No,No
EXT00194,SHIP00194,Sunny,High,No,No
EXT00195,SHIP00195,Sunny,Low,No,No
EXT00196,SHIP00196,Sunny,Low,No,No
EXT00197,SHIP00197,Fog,Low,No,No
EXT00198,SHIP00198,Cloudy,Low,No,No
EXT00199,SHIP00199,Sunny,Medium,No,No
EXT00200,SHIP00200,Sunny,Medium,No,No
EXT00201,SHIP00201,Rainy,High,No,No
EXT00202,SHIP00202,Fog,Medium,No,Yes
EXT00203,SHIP00203,Sunny,Low,No,No
EXT00204,SHIP00204,Sunny,Medium,No,No
EXT00205,SHIP00205,Storm,Low,No,Yes
EXT00206,SHIP00206,Fog,Medium,No,No
EXT00207,SHIP00207,Sunny,High,No,No
EXT00208,SHIP00208,Cloudy,High,No,No
EXT00209,SHIP00209,Cloudy,Low,No,No
EXT00210,SHIP00210,Cloudy,Medium,Yes,No
EXT00211,SHIP00211,Rainy,Medium,No,No
EXT00212,SHIP00212,Sunny,High,No,No
EXT00213,SHIP00213,Sunny,High,Yes,No
EXT00214,SHIP00214,Sunny,Low,No,No
EXT00215,SHIP00215,Sunny,High,Yes,No
EXT00216,SHIP00216,Sunny,High,No,No
EXT00217,SHIP00217,Rainy,Medium,No,No
EXT00218,SHIP00218,Cloudy,Medium,No,No
EXT00219,SHIP00219,Cloudy,Low,No,No
EXT00220,SHIP00220,Sunny,Medium,No,No
EXT00221,SHIP00221,Sunny,High,No,Yes
EXT00222,SHIP00222,Sunny,Low,No,No
EXT00223,SHIP00223,Sunny,Low,No,No
EXT00224,SHIP00224,Fog,High,No,No
EXT00225,SHIP00225,Rainy,Medium,No,Yes
EXT00226,SHIP00226,Storm,Medium,No,No
EXT00227,SHIP00227,Sunny,Medium,No,No
EXT00228,SHIP00228,Sunny,High,No,No
EXT00229,SHIP00229,Storm,Low,No,Yes
EXT00230,SHIP00230,Fog,Low,No,No
EXT00231,SHIP00231,Sunny,Medium,No,No
EXT00232,SHIP00232,Rainy,Medium,No,No
EXT00233,SHIP00233,Sunny,Medium,No,No
EXT00234,SHIP00234,Storm,Medium,No,No
EXT00235,SHIP00235,Fog,High,No,No
EXT00236,SHIP00236,Sunny,High,No,No
EXT00237,SHIP00237,Sunny,Medium,No,No
EXT00238,SHIP00238,Fog,Low,No,No
EXT00239,SHIP00239,Sunny,Medium,Yes,No
EXT00240,SHIP00240,Rainy,Medium,No,No
EXT00241,SHIP00241,Sunny,Medium,No,No
EXT00242,SHIP00242,Sunny,High,No,No
EXT00243,SHIP00243,Cloudy,Low,No,No
EXT00244,SHIP00244,Storm,Medium,No,No
EXT00245,SHIP00245,Sunny,Low,No,No
EXT00246,SHIP00246,Sunny,High,No,No
EXT00247,SHIP00247,Sunny,High,No,No
EXT00248,SHIP00248,Sunny,High,No,No
EXT00249,SHIP00249,Cloudy,Low,No,No
EXT00250,SHIP00250,Cloudy,Low,No,No
EXT00251,SHIP00251,Rainy,Medium,No,No
EXT00252,SHIP00252,Sunny,Medium,No,No
EXT00253,SHIP00253,Sunny,High,No,No
EXT00254,SHIP00254,Fog,Medium,No,Yes
EXT00255,SHIP00255,Fog,Medium,No,No
EXT00256,SHIP00256,Storm,Medium,No,No
EXT00257,SHIP00257,Sunny,Low,No,No
EXT00258,SHIP00258,Fog,Low,No,No
EXT00259,SHIP00259,Sunny,High,No,No
EXT00260,SHIP00260,Fog,Medium,No,No
EXT00261,SHIP00261,Rainy,Low,No,No
EXT00262,SHIP00262,Sunny,High,No,No
EXT00263,SHIP00263,Fog,High,No,No
EXT00264,SHIP00264,Sunny,Low,No,Yes
EXT00265,SHIP00265,Sunny,Medium,No,No
EXT00266,SHIP00266,Cloudy,Medium,No,No
EXT00267,SHIP00267,Rainy,Medium,No,No
EXT00268,SHIP00268,Cloudy,Medium,No,No
EXT00269,SHIP00269,Rainy,High,No,No
EXT00270,SHIP00270,Cloudy,Medium,No,No
EXT00271,SHIP00271,Cloudy,Medium,No,No
EXT00272,SHIP00272,Rainy,Low,No,No
EXT00273,SHIP00273,Storm,Medium,No,No
EXT00274,SHIP00274,Sunny,Medium,Yes,No
EXT00275,SHIP00275,Storm,High,No,No
EXT00276,SHIP00276,Sunny,Medium,No,No
EXT00277,SHIP00277,Cloudy,Low,No,No
EXT00278,SHIP00278,Sunny,Medium,No,No
EXT00279,SHIP00279,Fog,High,Yes,No
EXT00280,SHIP00280,Cloudy,Low,Yes,No
EXT00281,SHIP00281,Sunny,Low,No,No
EXT00282,SHIP00282,Rainy,Medium,No,No
EXT00283,SHIP00283,Sunny,Medium,No,No
EXT00284,SHIP00284,Rainy,Low,No,No
EXT00285,SHIP00285,Cloudy,High,No,No
EXT00286,SHIP00286,Sunny,High,No,No
EXT00287,SHIP00287,Cloudy,Medium,No,No
EXT00288,SHIP00288,Rainy,Medium,No,No
EXT00289,SHIP00289,Sunny,Medium,No,No
EXT00290,SHIP00290,Fog,Medium,No,No
EXT00291,SHIP00291,Sunny,Low,No,No
EXT00292,SHIP00292,Sunny,Medium,No,No
EXT00293,SHIP00293,Sunny,Medium,No,No
EXT00294,SHIP00294,Cloudy,Medium,No,No
EXT00295,SHIP00295,Rainy,Medium,No,No
EXT00296,SHIP00296,Rainy,High,No,No
EXT00297,SHIP00297,Sunny,Medium,No,No
EXT00298,SHIP00298,Sunny,Low,No,No
EXT00299,SHIP00299,Rainy,High,No,No
EXT00300,SHIP00300,Sunny,High,No,No
EXT00301,SHIP00301,Cloudy,Low,No,Yes
EXT00302,SHIP00302,Sunny,Low,No,No
EXT00303,SHIP00303,Sunny,High,No,Yes
EXT00304,SHIP00304,Fog,Low,No,No
EXT00305,SHIP00305,Sunny,Low,No,No
EXT00306,SHIP00306,Fog,Medium,No,No
EXT00307,SHIP00307,Storm,High,No,No
EXT00308,SHIP00308,Sunny,Medium,No,Yes
EXT00309,SHIP00309,Sunny,Medium,No,No
EXT00310,SHIP00310,Sunny,Low,No,No
EXT00311,SHIP00311,Storm,Low,No,No
EXT00312,SHIP00312,Rainy,Medium,No,No
EXT00313,SHIP00313,Cloudy,Low,No,No
EXT00314,SHIP00314,Fog,High,No,No
EXT00315,SHIP00315,Sunny,Medium,No,No
EXT00316,SHIP00316,Fog,Medium,No,No
EXT00317,SHIP00317,Sunny,High,No,No
EXT00318,SHIP00318,Cloudy,Low,No,No
EXT00319,SHIP00319,Fog,Medium,No,No
EXT00320,SHIP00320,Sunny,High,No,No
EXT00321,SHIP00321,Sunny,Medium,No,No
EXT00322,SHIP00322,Storm,Medium,No,No
EXT00323,SHIP00323,Sunny,Low,No,No
EXT00324,SHIP00324,Cloudy,Medium,No,No
EXT00325,SHIP00325,Rainy,High,No,Yes
EXT00326,SHIP00326,Sunny,Medium,No,No
EXT00327,SHIP00327,Sunny,Medium,No,No
EXT00328,SHIP00328,Rainy,Low,No,No
EXT00329,SHIP00329,Fog,Medium,Yes,No
EXT00330,SHIP00330,Sunny,High,No,No
EXT00331,SHIP00331,Sunny,Medium,No,No
EXT00332,SHIP00332,Sunny,High,No,No
EXT00333,SHIP00333,Sunny,Medium,Yes,No
EXT00334,SHIP00334,Fog,Medium,No,No
EXT00335,SHIP00335,Cloudy,Medium,No,No
EXT00336,SHIP00336,Sunny,High,No,Yes
EXT00337,SHIP00337,Storm,Medium,No,No
EXT00338,SHIP00338,Storm,Low,No,No
EXT00339,SHIP00339,Sunny,Medium,No,No
EXT00340,SHIP00340,Cloudy,Low,No,No
EXT00341,SHIP00341,Cloudy,Medium,No,No
EXT00342,SHIP00342,Cloudy,Low,No,No
EXT00343,SHIP00343,Sunny,Low,No,No
EXT00344,SHIP00344,Fog,Medium,Yes,No
EXT00345,SHIP00345,Sunny,Medium,No,No
EXT00346,SHIP00346,Sunny,Low,No,No
EXT00347,SHIP00347,Rainy,Medium,No,No
EXT00348,SHIP00348,Sunny,High,No,No
EXT00349,SHIP00349,Storm,Medium,No,Yes
EXT00350,SHIP00350,Sunny,High,No,No
EXT00351,SHIP00351,Cloudy,Low,No,No
EXT00352,SHIP00352,Sunny,Low,No,No
EXT00353,SHIP00353,Cloudy,Medium,No,No
EXT00354,SHIP00354,Storm,Medium,No,No
EXT00355,SHIP00355,Rainy,High,No,No
EXT00356,SHIP00356,Sunny,High,No,Yes
EXT00357,SHIP00357,Sunny,Medium,No,No
EXT00358,SHIP00358,Rainy,Low,No,No
EXT00359,SHIP00359,Fog,Medium,No,No
EXT00360,SHIP00360,Sunny,Medium,No,No
EXT00361,SHIP00361,Cloudy,Low,No,Yes
EXT00362,SHIP00362,Sunny,Medium,No,No
EXT00363,SHIP00363,Sunny,Low,No,No
EXT00364,SHIP00364,Cloudy,Medium,No,No
EXT00365,SHIP00365,Storm,Low,No,No
EXT00366,SHIP00366,Cloudy,Medium,No,No
EXT00367,SHIP00367,Sunny,High,No,No
EXT00368,SHIP00368,Sunny,High,No,No
EXT00369,SHIP00369,Cloudy,Low,No,No
EXT00370,SHIP00370,Sunny,Medium,No,Yes
EXT00371,SHIP00371,Sunny,High,No,No
EXT00372,SHIP00372,Sunny,High,No,Yes
EXT00373,SHIP00373,Rainy,Low,No,Yes
EXT00374,SHIP00374,Fog,Low,No,No
EXT00375,SHIP00375,Sunny,Low,No,Yes
EXT00376,SHIP00376,Cloudy,Low,No,No
EXT00377,SHIP00377,Cloudy,Medium,No,No
EXT00378,SHIP00378,Rainy,Low,No,No
EXT00379,SHIP00379,Sunny,Low,No,No
EXT00380,SHIP00380,Sunny,Low,No,No
EXT00381,SHIP00381,Sunny,Low,No,No
EXT00382,SHIP00382,Sunny,Low,No,No
EXT00383,SHIP00383,Sunny,High,No,No
EXT00384,SHIP00384,Sunny,High,Yes,No
EXT00385,SHIP00385,Rainy,High,No,No
EXT00386,SHIP00386,Storm,Medium,No,No
EXT00387,SHIP00387,Rainy,Medium,No,No
EXT00388,SHIP00388,Fog,Medium,No,No
EXT00389,SHIP00389,Cloudy,Low,No,No
EXT00390,SHIP00390,Sunny,Low,No,No
EXT00391,SHIP00391,Cloudy,Low,No,No
EXT00392,SHIP00392,Rainy,Medium,No,No
EXT00393,SHIP00393,Sunny,Low,No,No
EXT00394,SHIP00394,Cloudy,Low,Yes,No
EXT00395,SHIP00395,Cloudy,Medium,No,No
EXT00396,SHIP00396,Sunny,Medium,No,No
EXT00397,SHIP00397,Rainy,High,No,No
EXT00398,SHIP00398,Sunny,High,No,No
EXT00399,SHIP00399,Rainy,Medium,No,No
EXT00400,SHIP00400,Cloudy,Medium,No,No
EXT00401,SHIP00401,Sunny,Low,No,No
EXT00402,SHIP00402,Cloudy,Low,Yes,No
EXT00403,SHIP00403,Rainy,Medium,No,No
EXT00404,SHIP00404,Rainy,Low,No,No
EXT00405,SHIP00405,Sunny,Low,No,Yes
EXT00406,SHIP00406,Cloudy,High,No,No
EXT00407,SHIP00407,Cloudy,Low,No,No
EXT00408,SHIP00408,Sunny,Medium,No,No
EXT00409,SHIP00409,Sunny,Low,No,No
EXT00410,SHIP00410,Cloudy,Medium,Yes,No
EXT00411,SHIP00411,Rainy,Medium,No,No
EXT00412,SHIP00412,Sunny,Medium,No,No
EXT00413,SHIP00413,Sunny,Medium,No,No
EXT00414,SHIP00414,Sunny,High,No,No
EXT00415,SHIP00415,Fog,High,No,No
EXT00416,SHIP00416,Sunny,Low,Yes,No
EXT00417,SHIP00417,Sunny,High,No,No
EXT00418,SHIP00418,Sunny,Medium,No,No
EXT00419,SHIP00419,Sunny,Low,No,No
EXT00420,SHIP00420,Sunny,Low,No,No
EXT00421,SHIP00421,Storm,Medium,No,No
EXT00422,SHIP00422,Sunny,Medium,No,No
EXT00423,SHIP00423,Rainy,Low,No,No
EXT00424,SHIP00424,Fog,High,No,No
EXT00425,SHIP00425,Storm,High,No,No
EXT00426,SHIP00426,Sunny,Medium,No,No
EXT00427,SHIP00427,Cloudy,Low,No,Yes
EXT00428,SHIP00428,Rainy,Medium,No,No
EXT00429,SHIP00429,Sunny,High,No,No
EXT00430,SHIP00430,Sunny,Low,No,Yes
EXT00431,SHIP00431,Cloudy,Medium,No,No
EXT00432,SHIP00432,Cloudy,High,No,No
EXT00433,SHIP00433,Sunny,Medium,No,Yes
EXT00434,SHIP00434,Sunny,Medium,No,No
EXT00435,SHIP00435,Cloudy,Medium,No,No
EXT00436,SHIP00436,Rainy,Low,Yes,No
EXT00437,SHIP00437,Cloudy,Medium,No,No
EXT00438,SHIP00438,Storm,Medium,No,No
EXT00439,SHIP00439,Rainy,Low,No,No
EXT00440,SHIP00440,Sunny,Medium,No,No
EXT00441,SHIP00441,Sunny,Medium,No,No
EXT00442,SHIP00442,Fog,Low,No,No
EXT00443,SHIP00443,Sunny,Low,No,Yes
EXT00444,SHIP00444,Storm,Medium,No,No
EXT00445,SHIP00445,Sunny,Low,No,No
EXT00446,SHIP00446,Sunny,Low,No,No
EXT00447,SHIP00447,Sunny,High,No,No
EXT00448,SHIP00448,Sunny,Medium,No,No
EXT00449,SHIP00449,Cloudy,Medium,No,No
EXT00450,SHIP00450,Sunny,Low,No,No
EXT00451,SHIP00451,Sunny,High,No,No
EXT00452,SHIP00452,Cloudy,Medium,No,No
EXT00453,SHIP00453,Rainy,High,No,Yes
EXT00454,SHIP00454,Rainy,Medium,No,No
EXT00455,SHIP00455,Sunny,Medium,No,No
EXT00456,SHIP00456,Rainy,Low,No,No
EXT00457,SHIP00457,Rainy,Low,No,No
EXT00458,SHIP00458,Sunny,Low,No,No
EXT00459,SHIP00459,Fog,High,No,Yes
EXT00460,SHIP00460,Sunny,High,No,No
EXT00461,SHIP00461,Rainy,Low,No,No
EXT00462,SHIP00462,Storm,Low,No,No
EXT00463,SHIP00463,Sunny,Low,No,Yes
EXT00464,SHIP00464,Sunny,Low,Yes,Yes
EXT00465,SHIP00465,Cloudy,Medium,No,No
EXT00466,SHIP00466,Cloudy,Medium,No,No
EXT00467,SHIP00467,Sunny,High,No,No
EXT00468,SHIP00468,Fog,Medium,No,Yes
EXT00469,SHIP00469,Storm,Low,No,Yes
EXT00470,SHIP00470,Cloudy,Low,No,No
EXT00471,SHIP00471,Cloudy,High,No,Yes
EXT00472,SHIP00472,Sunny,Low,No,No
EXT00473,SHIP00473,Sunny,Medium,No,No
EXT00474,SHIP00474,Sunny,Medium,No,No
EXT00475,SHIP00475,Rainy,Medium,No,No
EXT00476,SHIP00476,Fog,Medium,No,No
EXT00477,SHIP00477,Sunny,High,No,No
EXT00478,SHIP00478,Cloudy,Low,No,No
EXT00479,SHIP00479,Rainy,High,No,No
EXT00480,SHIP00480,Sunny,High,No,No
EXT00481,SHIP00481,Cloudy,Medium,No,No
EXT00482,SHIP00482,Sunny,Low,No,No
EXT00483,SHIP00483,Cloudy,Low,No,Yes
EXT00484,SHIP00484,Sunny,Medium,No,No
EXT00485,SHIP00485,Sunny,Medium,Yes,No
EXT00486,SHIP00486,Sunny,Low,No,No
EXT00487,SHIP00487,Sunny,High,No,No
EXT00488,SHIP00488,Sunny,Medium,No,No
EXT00489,SHIP00489,Fog,High,No,No
EXT00490,SHIP00490,Rainy,High,No,No
EXT00491,SHIP00491,Fog,High,No,No
EXT00492,SHIP00492,Cloudy,Low,No,No
EXT00493,SHIP00493,Rainy,High,No,No
EXT00494,SHIP00494,Sunny,Low,No,No
EXT00495,SHIP00495,Cloudy,Medium,No,No
EXT00496,SHIP00496,Sunny,Medium,No,No
EXT00497,SHIP00497,Cloudy,Medium,No,No
EXT00498,SHIP00498,Rainy,Low,No,No
EXT00499,SHIP00499,Sunny,Low,No,No
EXT00500,SHIP00500,Sunny,Medium,No,No
EXT00501,SHIP00501,Cloudy,High,No,Yes
EXT00502,SHIP00502,Storm,High,No,No
EXT00503,SHIP00503,Storm,Low,No,No
EXT00504,SHIP00504,Fog,Low,No,No
EXT00505,SHIP00505,Rainy,Medium,No,No
EXT00506,SHIP00506,Rainy,Low,No,No
EXT00507,SHIP00507,Sunny,Low,No,No
EXT00508,SHIP00508,Cloudy,Low,No,No
EXT00509,SHIP00509,Sunny,Medium,No,No
EXT00510,SHIP00510,Sunny,Medium,No,No
EXT00511,SHIP00511,Sunny,Low,No,No
EXT00512,SHIP00512,Cloudy,High,No,No
EXT00513,SHIP00513,Rainy,Low,No,No
EXT00514,SHIP00514,Storm,Low,No,No
EXT00515,SHIP00515,Cloudy,Medium,No,No
EXT00516,SHIP00516,Sunny,Low,No,No
EXT00517,SHIP00517,Cloudy,Medium,No,No
EXT00518,SHIP00518,Fog,Medium,No,Yes
EXT00519,SHIP00519,Sunny,Low,No,No
EXT00520,SHIP00520,Sunny,High,No,No
EXT00521,SHIP00521,Cloudy,Medium,No,No
EXT00522,SHIP00522,Cloudy,Low,No,No
EXT00523,SHIP00523,Cloudy,Low,No,Yes
EXT00524,SHIP00524,Sunny,Medium,No,No
EXT00525,SHIP00525,Rainy,High,No,No
EXT00526,SHIP00526,Storm,Medium,No,Yes
EXT00527,SHIP00527,Sunny,Low,No,No
EXT00528,SHIP00528,Rainy,Low,No,No
EXT00529,SHIP00529,Sunny,High,No,No
EXT00530,SHIP00530,Sunny,Medium,No,No
EXT00531,SHIP00531,Sunny,High,No,No
EXT00532,SHIP00532,Cloudy,High,No,Yes
EXT00533,SHIP00533,Rainy,Low,No,No
EXT00534,SHIP00534,Sunny,Medium,No,No
EXT00535,SHIP00535,Fog,Low,No,No
EXT00536,SHIP00536,Sunny,High,No,No
EXT00537,SHIP00537,Rainy,High,No,No
EXT00538,SHIP00538,Rainy,Low,Yes,No
EXT00539,SHIP00539,Storm,High,No,No
EXT00540,SHIP00540,Sunny,Low,No,No
EXT00541,SHIP00541,Cloudy,Low,No,No
EXT00542,SHIP00542,Sunny,High,No,No
EXT00543,SHIP00543,Sunny,Low,No,No
EXT00544,SHIP00544,Storm,Low,No,No
EXT00545,SHIP00545,Sunny,High,No,No
